county,precinct,office,district,party,candidate,machine,absentee,absentee_hc,affidavit,votes
St. Lawrence,Canton 7,State Senate,48,REP,Patricia A. Ritchie,102,9,0,0,111
St. Lawrence,Canton 8,State Senate,48,CON,Patricia A. Ritchie,36,4,0,0,40
St. Lawrence,Canton 8,State Senate,48,IND,Patricia A. Ritchie,50,4,0,0,54
St. Lawrence,Canton 8,State Senate,48,REP,Patricia A. Ritchie,289,18,0,1,308
St. Lawrence,DeKalb 1,State Senate,48,CON,Patricia A. Ritchie,32,2,0,3,37
St. Lawrence,DeKalb 1,State Senate,48,IND,Patricia A. Ritchie,30,3,0,1,34
St. Lawrence,DeKalb 1,State Senate,48,REP,Patricia A. Ritchie,240,12,1,0,253
St. Lawrence,DeKalb 2,State Senate,48,CON,Patricia A. Ritchie,31,1,0,0,32
St. Lawrence,DeKalb 2,State Senate,48,IND,Patricia A. Ritchie,24,2,0,0,26
St. Lawrence,DeKalb 2,State Senate,48,REP,Patricia A. Ritchie,184,8,0,2,194
St. Lawrence,DePeyster 1,State Senate,48,CON,Patricia A. Ritchie,17,0,0,0,17
St. Lawrence,DePeyster 1,State Senate,48,IND,Patricia A. Ritchie,9,0,0,0,9
St. Lawrence,DePeyster 1,State Senate,48,REP,Patricia A. Ritchie,144,8,0,1,153
St. Lawrence,Edwards 1,State Senate,48,CON,Patricia A. Ritchie,27,1,0,0,28
St. Lawrence,Edwards 1,State Senate,48,IND,Patricia A. Ritchie,16,1,0,0,17
St. Lawrence,Edwards 1,State Senate,48,REP,Patricia A. Ritchie,234,13,0,0,247
St. Lawrence,Fowler 1,State Senate,48,CON,Patricia A. Ritchie,24,2,0,0,26
St. Lawrence,Fowler 1,State Senate,48,IND,Patricia A. Ritchie,34,0,0,0,34
St. Lawrence,Fowler 1,State Senate,48,REP,Patricia A. Ritchie,221,7,0,1,229
St. Lawrence,Fowler 2,State Senate,48,CON,Patricia A. Ritchie,35,1,0,0,36
St. Lawrence,Fowler 2,State Senate,48,IND,Patricia A. Ritchie,29,2,0,1,32
St. Lawrence,Fowler 2,State Senate,48,REP,Patricia A. Ritchie,288,18,1,1,308
St. Lawrence,Gouverneur 1,State Senate,48,CON,Patricia A. Ritchie,32,1,0,0,33
St. Lawrence,Gouverneur 1,State Senate,48,IND,Patricia A. Ritchie,28,3,1,1,33
St. Lawrence,Gouverneur 1,State Senate,48,REP,Patricia A. Ritchie,299,21,1,1,322
St. Lawrence,Gouverneur 2,State Senate,48,CON,Patricia A. Ritchie,32,6,0,0,38
St. Lawrence,Gouverneur 2,State Senate,48,IND,Patricia A. Ritchie,45,4,0,0,49
St. Lawrence,Gouverneur 2,State Senate,48,REP,Patricia A. Ritchie,234,15,0,1,250
St. Lawrence,Gouverneur 3,State Senate,48,CON,Patricia A. Ritchie,26,1,0,0,27
St. Lawrence,Gouverneur 3,State Senate,48,IND,Patricia A. Ritchie,15,2,0,0,17
St. Lawrence,Gouverneur 3,State Senate,48,REP,Patricia A. Ritchie,172,5,0,1,178
St. Lawrence,Gouverneur 4,State Senate,48,CON,Patricia A. Ritchie,24,0,0,0,24
St. Lawrence,Gouverneur 4,State Senate,48,IND,Patricia A. Ritchie,16,1,1,0,18
St. Lawrence,Gouverneur 4,State Senate,48,REP,Patricia A. Ritchie,220,8,0,1,229
St. Lawrence,Hammond 1,State Senate,48,CON,Patricia A. Ritchie,30,5,0,0,35
St. Lawrence,Hammond 1,State Senate,48,IND,Patricia A. Ritchie,22,3,0,1,26
St. Lawrence,Hammond 1,State Senate,48,REP,Patricia A. Ritchie,305,22,1,0,328
St. Lawrence,Hermon 1,State Senate,48,CON,Patricia A. Ritchie,35,3,0,0,38
St. Lawrence,Hermon 1,State Senate,48,IND,Patricia A. Ritchie,22,6,0,0,28
St. Lawrence,Hermon 1,State Senate,48,REP,Patricia A. Ritchie,226,9,2,2,239
St. Lawrence,Lisbon 1,State Senate,48,CON,Patricia A. Ritchie,27,1,0,0,28
St. Lawrence,Lisbon 1,State Senate,48,IND,Patricia A. Ritchie,20,3,0,1,24
St. Lawrence,Lisbon 1,State Senate,48,REP,Patricia A. Ritchie,346,18,0,9,373
St. Lawrence,Lisbon 2,State Senate,48,CON,Patricia A. Ritchie,28,4,0,0,32
St. Lawrence,Lisbon 2,State Senate,48,IND,Patricia A. Ritchie,27,0,0,0,27
St. Lawrence,Lisbon 2,State Senate,48,REP,Patricia A. Ritchie,273,15,0,2,290
St. Lawrence,Lisbon 3,State Senate,48,CON,Patricia A. Ritchie,25,1,0,0,26
St. Lawrence,Lisbon 3,State Senate,48,IND,Patricia A. Ritchie,25,1,0,0,26
St. Lawrence,Lisbon 3,State Senate,48,REP,Patricia A. Ritchie,322,18,1,2,343
St. Lawrence,Louisville 1,State Senate,48,CON,Patricia A. Ritchie,15,3,0,0,18
St. Lawrence,Louisville 1,State Senate,48,IND,Patricia A. Ritchie,18,4,0,0,22
St. Lawrence,Louisville 1,State Senate,48,REP,Patricia A. Ritchie,211,11,0,5,227
St. Lawrence,Louisville 2,State Senate,48,CON,Patricia A. Ritchie,34,2,0,0,36
St. Lawrence,Louisville 2,State Senate,48,IND,Patricia A. Ritchie,29,4,0,1,34
St. Lawrence,Louisville 2,State Senate,48,REP,Patricia A. Ritchie,204,11,0,2,217
St. Lawrence,Louisville 3,State Senate,48,CON,Patricia A. Ritchie,18,0,0,0,18
St. Lawrence,Louisville 3,State Senate,48,IND,Patricia A. Ritchie,29,3,0,1,33
St. Lawrence,Louisville 3,State Senate,48,REP,Patricia A. Ritchie,160,11,0,0,171
St. Lawrence,Louisville 4,State Senate,48,CON,Patricia A. Ritchie,10,0,0,0,10
St. Lawrence,Louisville 4,State Senate,48,IND,Patricia A. Ritchie,9,3,0,0,12
St. Lawrence,Louisville 4,State Senate,48,REP,Patricia A. Ritchie,117,12,0,1,130
St. Lawrence,Macomb 1,State Senate,48,CON,Patricia A. Ritchie,21,1,0,0,22
St. Lawrence,Macomb 1,State Senate,48,IND,Patricia A. Ritchie,20,4,0,0,24
St. Lawrence,Macomb 1,State Senate,48,REP,Patricia A. Ritchie,228,9,0,2,239
St. Lawrence,Madrid 1,State Senate,48,CON,Patricia A. Ritchie,40,2,0,0,42
St. Lawrence,Madrid 1,State Senate,48,IND,Patricia A. Ritchie,68,2,0,0,70
St. Lawrence,Madrid 1,State Senate,48,REP,Patricia A. Ritchie,369,16,0,5,390
St. Lawrence,Morristown 1,State Senate,48,CON,Patricia A. Ritchie,14,3,0,0,17
St. Lawrence,Morristown 1,State Senate,48,IND,Patricia A. Ritchie,13,4,0,0,17
St. Lawrence,Morristown 1,State Senate,48,REP,Patricia A. Ritchie,175,21,0,1,197
St. Lawrence,Morristown 2,State Senate,48,CON,Patricia A. Ritchie,22,1,0,0,23
St. Lawrence,Morristown 2,State Senate,48,IND,Patricia A. Ritchie,33,0,0,0,33
St. Lawrence,Morristown 2,State Senate,48,REP,Patricia A. Ritchie,299,26,0,2,327
St. Lawrence,Ogdensburg 1,State Senate,48,CON,Patricia A. Ritchie,29,1,1,0,31
St. Lawrence,Ogdensburg 1,State Senate,48,IND,Patricia A. Ritchie,29,2,0,0,31
St. Lawrence,Ogdensburg 1,State Senate,48,REP,Patricia A. Ritchie,258,9,2,2,271
St. Lawrence,Ogdensburg 2,State Senate,48,CON,Patricia A. Ritchie,25,0,0,0,25
St. Lawrence,Ogdensburg 2,State Senate,48,IND,Patricia A. Ritchie,30,3,0,0,33
St. Lawrence,Ogdensburg 2,State Senate,48,REP,Patricia A. Ritchie,262,9,0,3,274
St. Lawrence,Ogdensburg 3,State Senate,48,CON,Patricia A. Ritchie,38,4,0,0,42
St. Lawrence,Ogdensburg 3,State Senate,48,IND,Patricia A. Ritchie,48,3,1,0,52
St. Lawrence,Ogdensburg 3,State Senate,48,REP,Patricia A. Ritchie,347,15,4,6,372
St. Lawrence,Ogdensburg 4,State Senate,48,CON,Patricia A. Ritchie,39,0,0,0,39
St. Lawrence,Ogdensburg 4,State Senate,48,IND,Patricia A. Ritchie,40,2,0,0,42
St. Lawrence,Ogdensburg 4,State Senate,48,REP,Patricia A. Ritchie,313,14,0,2,329
St. Lawrence,Ogdensburg 5,State Senate,48,CON,Patricia A. Ritchie,31,1,0,0,32
St. Lawrence,Ogdensburg 5,State Senate,48,IND,Patricia A. Ritchie,26,2,0,0,28
St. Lawrence,Ogdensburg 5,State Senate,48,REP,Patricia A. Ritchie,279,9,0,4,292
St. Lawrence,Ogdensburg 6,State Senate,48,CON,Patricia A. Ritchie,27,10,0,0,37
St. Lawrence,Ogdensburg 6,State Senate,48,IND,Patricia A. Ritchie,22,9,0,2,33
St. Lawrence,Ogdensburg 6,State Senate,48,REP,Patricia A. Ritchie,314,29,1,1,345
St. Lawrence,Oswegatchie 1,State Senate,48,CON,Patricia A. Ritchie,56,4,0,0,60
St. Lawrence,Oswegatchie 1,State Senate,48,IND,Patricia A. Ritchie,28,3,0,1,32
St. Lawrence,Oswegatchie 1,State Senate,48,REP,Patricia A. Ritchie,451,31,0,4,486
St. Lawrence,Oswegatchie 2,State Senate,48,CON,Patricia A. Ritchie,31,4,0,0,35
St. Lawrence,Oswegatchie 2,State Senate,48,IND,Patricia A. Ritchie,35,1,0,0,36
St. Lawrence,Oswegatchie 2,State Senate,48,REP,Patricia A. Ritchie,353,36,0,7,396
St. Lawrence,Oswegatchie 3,State Senate,48,CON,Patricia A. Ritchie,14,0,0,0,14
St. Lawrence,Oswegatchie 3,State Senate,48,IND,Patricia A. Ritchie,14,2,0,0,16
St. Lawrence,Oswegatchie 3,State Senate,48,REP,Patricia A. Ritchie,195,18,0,2,215
St. Lawrence,Rossie 1,State Senate,48,CON,Patricia A. Ritchie,11,0,0,0,11
St. Lawrence,Rossie 1,State Senate,48,IND,Patricia A. Ritchie,10,0,0,0,10
St. Lawrence,Rossie 1,State Senate,48,REP,Patricia A. Ritchie,147,8,0,0,155
St. Lawrence,Waddington 1,State Senate,48,CON,Patricia A. Ritchie,24,1,0,0,25
St. Lawrence,Waddington 1,State Senate,48,IND,Patricia A. Ritchie,31,2,0,1,34
St. Lawrence,Waddington 1,State Senate,48,REP,Patricia A. Ritchie,243,34,0,1,278
St. Lawrence,Waddington 2,State Senate,48,CON,Patricia A. Ritchie,43,0,0,0,43
St. Lawrence,Waddington 2,State Senate,48,IND,Patricia A. Ritchie,31,3,0,2,36
St. Lawrence,Waddington 2,State Senate,48,REP,Patricia A. Ritchie,333,20,0,2,355
St. Lawrence,Brasher 1,State House,115,DEM,D. Billy Jones,134,4,0,0,138
St. Lawrence,Brasher 1,State House,115,IND,D. Billy Jones,23,0,0,0,23
St. Lawrence,Brasher 1,State House,115,WOR,D. Billy Jones,15,0,0,0,15
St. Lawrence,Brasher 2,State House,115,DEM,D. Billy Jones,229,15,0,3,247
St. Lawrence,Brasher 2,State House,115,IND,D. Billy Jones,25,1,0,0,26
St. Lawrence,Brasher 2,State House,115,WOR,D. Billy Jones,19,1,0,0,20
St. Lawrence,Hopkinton 1,State House,115,DEM,D. Billy Jones,157,9,1,0,167
St. Lawrence,Hopkinton 1,State House,115,IND,D. Billy Jones,23,1,0,0,24
St. Lawrence,Hopkinton 1,State House,115,WOR,D. Billy Jones,26,3,0,0,29
St. Lawrence,Lawrence 1,State House,115,DEM,D. Billy Jones,228,5,0,1,234
St. Lawrence,Lawrence 1,State House,115,IND,D. Billy Jones,22,1,0,0,23
St. Lawrence,Lawrence 1,State House,115,WOR,D. Billy Jones,23,4,0,0,27
St. Lawrence,Piercefield 1,State House,115,DEM,D. Billy Jones,64,6,0,0,70
St. Lawrence,Piercefield 1,State House,115,IND,D. Billy Jones,5,0,0,0,5
St. Lawrence,Piercefield 1,State House,115,WOR,D. Billy Jones,7,1,0,0,8
St. Lawrence,Canton 1,State House,116,CON,Mark C. Walczyk,19,0,0,0,19
St. Lawrence,Canton 1,State House,116,DEM,Addie A. E. Jenne,385,39,3,5,432
St. Lawrence,Canton 1,State House,116,IND,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 1,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 1,State House,116,REP,Mark C. Walczyk,97,10,0,0,107
St. Lawrence,Canton 1,State House,116,WOR,Addie A. E. Jenne,31,3,0,0,34
St. Lawrence,Canton 2,State House,116,CON,Mark C. Walczyk,20,1,0,0,21
St. Lawrence,Canton 2,State House,116,DEM,Addie A. E. Jenne,240,17,0,2,259
St. Lawrence,Canton 2,State House,116,IND,Mark C. Walczyk,10,0,0,0,10
St. Lawrence,Canton 2,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Canton 2,State House,116,REP,Mark C. Walczyk,206,14,0,1,221
St. Lawrence,Canton 2,State House,116,WOR,Addie A. E. Jenne,16,2,1,0,19
St. Lawrence,Canton 3,State House,116,CON,Mark C. Walczyk,16,2,0,0,18
St. Lawrence,Canton 3,State House,116,DEM,Addie A. E. Jenne,261,29,0,3,293
St. Lawrence,Canton 3,State House,116,IND,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Canton 3,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 3,State House,116,REP,Mark C. Walczyk,98,20,1,2,121
St. Lawrence,Canton 3,State House,116,WOR,Addie A. E. Jenne,24,0,0,0,24
St. Lawrence,Canton 4,State House,116,CON,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Canton 4,State House,116,DEM,Addie A. E. Jenne,60,0,0,0,60
St. Lawrence,Canton 4,State House,116,IND,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 4,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 4,State House,116,REP,Mark C. Walczyk,33,2,0,0,35
St. Lawrence,Canton 4,State House,116,WOR,Addie A. E. Jenne,8,0,0,0,8
St. Lawrence,Canton 5,State House,116,CON,Mark C. Walczyk,15,0,0,0,15
St. Lawrence,Canton 5,State House,116,DEM,Addie A. E. Jenne,113,2,0,2,117
St. Lawrence,Canton 5,State House,116,IND,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Canton 5,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Canton 5,State House,116,REP,Mark C. Walczyk,111,9,0,2,122
St. Lawrence,Canton 5,State House,116,WOR,Addie A. E. Jenne,10,1,0,1,12
St. Lawrence,Canton 6,State House,116,CON,Mark C. Walczyk,20,1,0,1,22
St. Lawrence,Canton 6,State House,116,DEM,Addie A. E. Jenne,284,14,1,5,304
St. Lawrence,Canton 6,State House,116,IND,Mark C. Walczyk,3,0,0,1,4
St. Lawrence,Canton 6,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Canton 6,State House,116,REP,Mark C. Walczyk,131,8,0,1,140
St. Lawrence,Canton 6,State House,116,WOR,Addie A. E. Jenne,13,0,0,1,14
St. Lawrence,Canton 7,State House,116,CON,Mark C. Walczyk,7,2,0,0,9
St. Lawrence,Canton 7,State House,116,DEM,Addie A. E. Jenne,78,8,0,1,87
St. Lawrence,Canton 7,State House,116,IND,Mark C. Walczyk,3,0,0,0,3
St. Lawrence,Canton 7,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Canton 7,State House,116,REP,Mark C. Walczyk,70,4,0,0,74
St. Lawrence,Canton 7,State House,116,WOR,Addie A. E. Jenne,5,0,0,0,5
St. Lawrence,Canton 8,State House,116,CON,Mark C. Walczyk,33,3,0,0,36
St. Lawrence,Canton 8,State House,116,DEM,Addie A. E. Jenne,255,34,4,1,294
St. Lawrence,Canton 8,State House,116,IND,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Canton 8,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Canton 8,State House,116,REP,Mark C. Walczyk,206,7,0,1,214
St. Lawrence,Canton 8,State House,116,WOR,Addie A. E. Jenne,24,1,0,0,25
St. Lawrence,DePeyster 1,State House,116,CON,Mark C. Walczyk,12,0,0,0,12
St. Lawrence,DePeyster 1,State House,116,DEM,Addie A. E. Jenne,43,4,0,0,47
St. Lawrence,DePeyster 1,State House,116,IND,Mark C. Walczyk,6,0,0,0,6
St. Lawrence,DePeyster 1,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,DePeyster 1,State House,116,REP,Mark C. Walczyk,126,5,0,1,132
St. Lawrence,DePeyster 1,State House,116,WOR,Addie A. E. Jenne,11,0,0,0,11
St. Lawrence,Hammond 1,State House,116,CON,Mark C. Walczyk,21,4,0,0,25
St. Lawrence,Hammond 1,State House,116,DEM,Addie A. E. Jenne,164,19,0,0,183
St. Lawrence,Hammond 1,State House,116,IND,Mark C. Walczyk,8,0,0,1,9
St. Lawrence,Hammond 1,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Hammond 1,State House,116,REP,Mark C. Walczyk,231,18,1,0,250
St. Lawrence,Hammond 1,State House,116,WOR,Addie A. E. Jenne,13,0,0,0,13
St. Lawrence,Lisbon 1,State House,116,CON,Mark C. Walczyk,20,2,0,2,24
St. Lawrence,Lisbon 1,State House,116,DEM,Addie A. E. Jenne,150,9,0,5,164
St. Lawrence,Lisbon 1,State House,116,IND,Mark C. Walczyk,8,0,0,0,8
St. Lawrence,Lisbon 1,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Lisbon 1,State House,116,REP,Mark C. Walczyk,288,12,0,5,305
St. Lawrence,Lisbon 1,State House,116,WOR,Addie A. E. Jenne,5,1,0,0,6
St. Lawrence,Lisbon 2,State House,116,CON,Mark C. Walczyk,24,3,0,0,27
St. Lawrence,Lisbon 2,State House,116,DEM,Addie A. E. Jenne,104,6,0,0,110
St. Lawrence,Lisbon 2,State House,116,IND,Mark C. Walczyk,6,0,0,0,6
St. Lawrence,Lisbon 2,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Lisbon 2,State House,116,REP,Mark C. Walczyk,231,10,0,2,243
St. Lawrence,Lisbon 2,State House,116,WOR,Addie A. E. Jenne,11,0,0,0,11
St. Lawrence,Lisbon 3,State House,116,CON,Mark C. Walczyk,24,0,0,0,24
St. Lawrence,Lisbon 3,State House,116,DEM,Addie A. E. Jenne,112,12,0,0,124
St. Lawrence,Lisbon 3,State House,116,IND,Mark C. Walczyk,6,1,0,0,7
St. Lawrence,Lisbon 3,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Lisbon 3,State House,116,REP,Mark C. Walczyk,281,12,1,2,296
St. Lawrence,Lisbon 3,State House,116,WOR,Addie A. E. Jenne,9,0,0,0,9
St. Lawrence,Louisville 1,State House,116,CON,Mark C. Walczyk,9,2,0,0,11
St. Lawrence,Louisville 1,State House,116,DEM,Addie A. E. Jenne,160,19,0,2,181
St. Lawrence,Louisville 1,State House,116,IND,Mark C. Walczyk,3,1,0,0,4
St. Lawrence,Louisville 1,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Louisville 1,State House,116,REP,Mark C. Walczyk,160,6,0,3,169
St. Lawrence,Louisville 1,State House,116,WOR,Addie A. E. Jenne,2,0,0,1,3
St. Lawrence,Louisville 2,State House,116,CON,Mark C. Walczyk,23,1,0,0,24
St. Lawrence,Louisville 2,State House,116,DEM,Addie A. E. Jenne,180,17,0,1,198
St. Lawrence,Louisville 2,State House,116,IND,Mark C. Walczyk,7,0,0,1,8
St. Lawrence,Louisville 2,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Louisville 2,State House,116,REP,Mark C. Walczyk,141,7,0,1,149
St. Lawrence,Louisville 2,State House,116,WOR,Addie A. E. Jenne,14,0,0,0,14
St. Lawrence,Louisville 3,State House,116,CON,Mark C. Walczyk,11,1,0,0,12
St. Lawrence,Louisville 3,State House,116,DEM,Addie A. E. Jenne,133,13,2,2,150
St. Lawrence,Louisville 3,State House,116,IND,Mark C. Walczyk,5,0,0,1,6
St. Lawrence,Louisville 3,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Louisville 3,State House,116,REP,Mark C. Walczyk,119,7,0,0,126
St. Lawrence,Louisville 3,State House,116,WOR,Addie A. E. Jenne,6,0,0,0,6
St. Lawrence,Louisville 4,State House,116,CON,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Louisville 4,State House,116,DEM,Addie A. E. Jenne,97,11,0,1,109
St. Lawrence,Louisville 4,State House,116,IND,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Louisville 4,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Louisville 4,State House,116,REP,Mark C. Walczyk,89,11,0,1,101
St. Lawrence,Louisville 4,State House,116,WOR,Addie A. E. Jenne,1,0,0,0,1
St. Lawrence,Macomb 1,State House,116,CON,Mark C. Walczyk,18,0,0,0,18
St. Lawrence,Macomb 1,State House,116,DEM,Addie A. E. Jenne,81,15,0,0,96
St. Lawrence,Macomb 1,State House,116,IND,Mark C. Walczyk,4,1,0,0,5
St. Lawrence,Macomb 1,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Macomb 1,State House,116,REP,Mark C. Walczyk,192,7,0,2,201
St. Lawrence,Macomb 1,State House,116,WOR,Addie A. E. Jenne,11,1,0,0,12
St. Lawrence,Massena 1,State House,116,CON,Mark C. Walczyk,17,3,0,0,20
St. Lawrence,Massena 1,State House,116,DEM,Addie A. E. Jenne,371,36,1,1,409
St. Lawrence,Massena 1,State House,116,IND,Mark C. Walczyk,9,1,0,0,10
St. Lawrence,Massena 1,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Massena 1,State House,116,REP,Mark C. Walczyk,234,18,1,1,254
St. Lawrence,Massena 1,State House,116,WOR,Addie A. E. Jenne,17,0,0,0,17
St. Lawrence,Massena 2,State House,116,CON,Mark C. Walczyk,10,0,0,0,10
St. Lawrence,Massena 2,State House,116,DEM,Addie A. E. Jenne,249,16,0,6,271
St. Lawrence,Massena 2,State House,116,IND,Mark C. Walczyk,7,3,0,0,10
St. Lawrence,Massena 2,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Massena 2,State House,116,REP,Mark C. Walczyk,196,8,0,5,209
St. Lawrence,Massena 2,State House,116,WOR,Addie A. E. Jenne,25,1,0,1,27
St. Lawrence,Massena 3,State House,116,CON,Mark C. Walczyk,12,0,0,0,12
St. Lawrence,Massena 3,State House,116,DEM,Addie A. E. Jenne,220,15,1,3,239
St. Lawrence,Massena 3,State House,116,IND,Mark C. Walczyk,6,0,0,0,6
St. Lawrence,Massena 3,State House,116,REF,Mark C. Walczyk,3,0,0,0,3
St. Lawrence,Massena 3,State House,116,REP,Mark C. Walczyk,151,16,0,5,172
St. Lawrence,Massena 3,State House,116,WOR,Addie A. E. Jenne,11,0,0,0,11
St. Lawrence,Massena 4,State House,116,CON,Mark C. Walczyk,6,0,0,0,6
St. Lawrence,Massena 4,State House,116,DEM,Addie A. E. Jenne,108,3,0,2,113
St. Lawrence,Massena 4,State House,116,IND,Mark C. Walczyk,1,1,0,0,2
St. Lawrence,Massena 4,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Massena 4,State House,116,REP,Mark C. Walczyk,82,7,0,4,93
St. Lawrence,Massena 4,State House,116,WOR,Addie A. E. Jenne,8,0,0,0,8
St. Lawrence,Massena 5,State House,116,CON,Mark C. Walczyk,20,0,0,0,20
St. Lawrence,Massena 5,State House,116,DEM,Addie A. E. Jenne,214,19,0,3,236
St. Lawrence,Massena 5,State House,116,IND,Mark C. Walczyk,5,1,0,0,6
St. Lawrence,Massena 5,State House,116,REF,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Massena 5,State House,116,REP,Mark C. Walczyk,164,13,0,3,180
St. Lawrence,Massena 5,State House,116,WOR,Addie A. E. Jenne,17,0,0,0,17
St. Lawrence,Massena 6,State House,116,CON,Mark C. Walczyk,11,1,0,0,12
St. Lawrence,Massena 6,State House,116,DEM,Addie A. E. Jenne,243,16,1,3,263
St. Lawrence,Massena 6,State House,116,IND,Mark C. Walczyk,6,1,0,0,7
St. Lawrence,Massena 6,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Massena 6,State House,116,REP,Mark C. Walczyk,140,5,1,2,148
St. Lawrence,Massena 6,State House,116,WOR,Addie A. E. Jenne,15,0,0,1,16
St. Lawrence,Massena 7,State House,116,CON,Mark C. Walczyk,13,0,0,0,13
St. Lawrence,Massena 7,State House,116,DEM,Addie A. E. Jenne,191,14,0,1,206
St. Lawrence,Massena 7,State House,116,IND,Mark C. Walczyk,6,0,0,0,6
St. Lawrence,Massena 7,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Massena 7,State House,116,REP,Mark C. Walczyk,150,4,0,0,154
St. Lawrence,Massena 7,State House,116,WOR,Addie A. E. Jenne,16,1,0,0,17
St. Lawrence,Massena 8,State House,116,CON,Mark C. Walczyk,15,2,0,0,17
St. Lawrence,Massena 8,State House,116,DEM,Addie A. E. Jenne,150,13,1,0,164
St. Lawrence,Massena 8,State House,116,IND,Mark C. Walczyk,4,0,0,0,4
St. Lawrence,Massena 8,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Massena 8,State House,116,REP,Mark C. Walczyk,134,8,0,1,143
St. Lawrence,Massena 8,State House,116,WOR,Addie A. E. Jenne,6,0,0,0,6
St. Lawrence,Morristown 1,State House,116,CON,Mark C. Walczyk,12,3,0,0,15
St. Lawrence,Morristown 1,State House,116,DEM,Addie A. E. Jenne,65,9,1,0,75
St. Lawrence,Morristown 1,State House,116,IND,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Morristown 1,State House,116,REF,Mark C. Walczyk,0,0,0,0,0
St. Lawrence,Morristown 1,State House,116,REP,Mark C. Walczyk,151,17,0,1,169
St. Lawrence,Morristown 1,State House,116,WOR,Addie A. E. Jenne,5,1,0,0,6
St. Lawrence,Morristown 2,State House,116,CON,Mark C. Walczyk,20,0,0,0,20
St. Lawrence,Morristown 2,State House,116,DEM,Addie A. E. Jenne,123,16,0,0,139
St. Lawrence,Morristown 2,State House,116,IND,Mark C. Walczyk,13,0,0,0,13
St. Lawrence,Morristown 2,State House,116,REF,Mark C. Walczyk,2,0,0,0,2
St. Lawrence,Morristown 2,State House,116,REP,Mark C. Walczyk,237,21,0,2,260
St. Lawrence,Morristown 2,State House,116,WOR,Addie A. E. Jenne,10,0,0,0,10
St. Lawrence,Ogdensburg 1,State House,116,CON,Mark C. Walczyk,16,1,2,0,19
St. Lawrence,Ogdensburg 1,State House,116,DEM,Addie A. E. Jenne,141,9,1,0,151
St. Lawrence,Ogdensburg 1,State House,116,IND,Mark C. Walczyk,8,1,0,0,9
St. Lawrence,Ogdensburg 1,State House,116,REF,Mark C. Walczyk,1,0,0,0,1
St. Lawrence,Ogdensburg 1,State House,116,REP,Mark C. Walczyk,192,6,1,2,201
St. Lawrence,Ogdensburg 1,State House,116,WOR,Addie A. E. Jenne,8,1,0,1,10
St. Lawrence,Ogdensburg 2,State House,116,CON,Mark C. Walczyk,20,0,0,0,20
St. Lawrence,Ogdensburg 2,State House,116,DEM,Addie A. E. Jenne,141,7,0,0,148
St. Lawrence,Ogdensburg 2,State House,116,IND,Mark C. Walczyk,12,1,0,0,13
St. Lawrence,Ogdensburg 2,State House,116,REF,Mark C. Walczyk,3,0,0,0,3
St. Lawrence,Ogdensburg 2,State House,116,REP,Mark C. Walczyk,197,4,0,3,204
St. Lawrence,Ogdensburg 2,State House,116,WOR,Addie A. E. Jenne,15,0,0,0,15
St. Lawrence,Ogdensburg 3,State House,116,CON,Mark C. Walczyk,24,1,0,0,25
