county,office,district,party,candidate,votes,,,,,,,,,
Washington,State Assembly,114,REF,Daniel G. Stec,26,,,,,,,,,
Washington,State Assembly,114,,Blank,1137,,,,,,,,,
Washington,State Assembly,114,,Void,0,,,,,,,,,
Washington,State Assembly,114,,Scattering,0,,,,,,,,,
Washington,State Assembly,114,,Total,7292,,,,,,,,,
Total,State Assembly,114,REP,Daniel G. Stec,35252,,,,,,,,,
Total,State Assembly,114,CON,Daniel G. Stec,3903,,,,,,,,,
Total,State Assembly,114,GRN,Robin M. Barkenhagen,7562,,,,,,,,,
Total,State Assembly,114,IND,Daniel G. Stec,3386,,,,,,,,,
Total,State Assembly,114,REF,Daniel G. Stec,236,,,,,,,,,
Total,State Assembly,114,,Blank,10640,,,,,,,,,
Total,State Assembly,114,,Void,1,,,,,,,,,
Total,State Assembly,114,,Scattering,24,,,,,,,,,
Total,State Assembly,114,,Total,61004,,,,,,,,,
Clinton,State Assembly,115,DEM,D. Billy Jones,14529,,,,,,,,,
Clinton,State Assembly,115,REP,Kevin A. Mulverhill,13326,,,,,,,,,
Clinton,State Assembly,115,WOR,D. Billy Jones,1391,,,,,,,,,
Clinton,State Assembly,115,IND,Kevin A. Mulverhill,1019,,,,,,,,,
Clinton,State Assembly,115,WEP,D. Billy Jones,318,,,,,,,,,
Clinton,State Assembly,115,REF,Kevin A. Mulverhill,106,,,,,,,,,
Clinton,State Assembly,115,,Blank,3829,,,,,,,,,
Clinton,State Assembly,115,,Void,5,,,,,,,,,
Clinton,State Assembly,115,,Scattering,13,,,,,,,,,
Clinton,State Assembly,115,,Total,34536,,,,,,,,,
Franklin,State Assembly,115,DEM,D. Billy Jones,8170,,,,,,,,,
Franklin,State Assembly,115,REP,Kevin A. Mulverhill,7126,,,,,,,,,
Franklin,State Assembly,115,WOR,D. Billy Jones,593,,,,,,,,,
Franklin,State Assembly,115,IND,Kevin A. Mulverhill,468,,,,,,,,,
Franklin,State Assembly,115,WEP,D. Billy Jones,169,,,,,,,,,
Franklin,State Assembly,115,REF,Kevin A. Mulverhill,60,,,,,,,,,
Franklin,State Assembly,115,,Blank,505,,,,,,,,,
Franklin,State Assembly,115,,Void,8,,,,,,,,,
Franklin,State Assembly,115,,Scattering,10,,,,,,,,,
Franklin,State Assembly,115,,Total,17109,,,,,,,,,
St. Lawrence,State Assembly,115,DEM,D. Billy Jones,724,,,,,,,,,
St. Lawrence,State Assembly,115,REP,Kevin A. Mulverhill,1066,,,,,,,,,
St. Lawrence,State Assembly,115,WOR,D. Billy Jones,62,,,,,,,,,
St. Lawrence,State Assembly,115,IND,Kevin A. Mulverhill,66,,,,,,,,,
St. Lawrence,State Assembly,115,WEP,D. Billy Jones,16,,,,,,,,,
St. Lawrence,State Assembly,115,REF,Kevin A. Mulverhill,16,,,,,,,,,
St. Lawrence,State Assembly,115,,Blank,184,,,,,,,,,
St. Lawrence,State Assembly,115,,Void,0,,,,,,,,,
St. Lawrence,State Assembly,115,,Scattering,0,,,,,,,,,
St. Lawrence,State Assembly,115,,Total,2134,,,,,,,,,
Total,State Assembly,115,DEM,D. Billy Jones,23423,,,,,,,,,
Total,State Assembly,115,REP,Kevin A. Mulverhill,21518,,,,,,,,,
Total,State Assembly,115,WOR,D. Billy Jones,2046,,,,,,,,,
Total,State Assembly,115,IND,Kevin A. Mulverhill,1553,,,,,,,,,
Total,State Assembly,115,WEP,D. Billy Jones,503,,,,,,,,,
Total,State Assembly,115,REF,Kevin A. Mulverhill,182,,,,,,,,,
Total,State Assembly,115,,Blank,4518,,,,,,,,,
Total,State Assembly,115,,Void,13,,,,,,,,,
Total,State Assembly,115,,Scattering,23,,,,,,,,,
Total,State Assembly,115,,Total,53779,,,,,,,,,
Jefferson,State Assembly,116,DEM,Addie Jenne Russell,10733,,,,,,,,,
Jefferson,State Assembly,116,REP,John Byrne,9279,,,,,,,,,
Jefferson,State Assembly,116,CON,John Byrne,1005,,,,,,,,,
Jefferson,State Assembly,116,WOR,Addie Jenne Russell,1264,,,,,,,,,
Jefferson,State Assembly,116,IND,John Byrne,538,,,,,,,,,
Jefferson,State Assembly,116,REF,John Byrne,60,,,,,,,,,
Jefferson,State Assembly,116,,Blank,832,,,,,,,,,
Jefferson,State Assembly,116,,Void,28,,,,,,,,,
Jefferson,State Assembly,116,,Scattering,29,,,,,,,,,
Jefferson,State Assembly,116,,Total,23768,,,,,,,,,
St. Lawrence,State Assembly,116,DEM,Addie Jenne Russell,11432,,,,,,,,,
St. Lawrence,State Assembly,116,REP,John Byrne,9133,,,,,,,,,
St. Lawrence,State Assembly,116,CON,John Byrne,984,,,,,,,,,
St. Lawrence,State Assembly,116,WOR,Addie Jenne Russell,1044,,,,,,,,,
St. Lawrence,State Assembly,116,IND,John Byrne,450,,,,,,,,,
St. Lawrence,State Assembly,116,REF,John Byrne,60,,,,,,,,,
St. Lawrence,State Assembly,116,,Blank,1295,,,,,,,,,
St. Lawrence,State Assembly,116,,Void,0,,,,,,,,,
St. Lawrence,State Assembly,116,,Scattering,23,,,,,,,,,
St. Lawrence,State Assembly,116,,Total,24421,,,,,,,,,
Total,State Assembly,116,DEM,Addie Jenne Russell,22165,,,,,,,,,
Total,State Assembly,116,REP,John Byrne,18412,,,,,,,,,
Total,State Assembly,116,CON,John Byrne,1989,,,,,,,,,
Total,State Assembly,116,WOR,Addie Jenne Russell,2308,,,,,,,,,
Total,State Assembly,116,IND,John Byrne,988,,,,,,,,,
Total,State Assembly,116,REF,John Byrne,120,,,,,,,,,
Total,State Assembly,116,,Blank,2127,,,,,,,,,
Total,State Assembly,116,,Void,28,,,,,,,,,
Total,State Assembly,116,,Scattering,52,,,,,,,,,
Total,State Assembly,116,,Total,48189,,,,,,,,,
Lewis,State Assembly,117,REP,Kenneth Blankenbush,7821,,,,,,,,,
Lewis,State Assembly,117,CON,Kenneth Blankenbush,870,,,,,,,,,
Lewis,State Assembly,117,IND,Kenneth Blankenbush,809,,,,,,,,,
Lewis,State Assembly,117,,Blank,1932,,,,,,,,,
Lewis,State Assembly,117,,Void,0,,,,,,,,,
Lewis,State Assembly,117,,Scattering,23,,,,,,,,,
Lewis,State Assembly,117,,Total,11455,,,,,,,,,
Jefferson,State Assembly,117,REP,Kenneth Blankenbush,8866,,,,,,,,,
Jefferson,State Assembly,117,CON,Kenneth Blankenbush,976,,,,,,,,,
Jefferson,State Assembly,117,IND,Kenneth Blankenbush,1043,,,,,,,,,
Jefferson,State Assembly,117,,Blank,2410,,,,,,,,,
Jefferson,State Assembly,117,,Void,9,,,,,,,,,
Jefferson,State Assembly,117,,Scattering,33,,,,,,,,,
Jefferson,State Assembly,117,,Total,13337,,,,,,,,,
Oneida,State Assembly,117,REP,Kenneth Blankenbush,9834,,,,,,,,,
Oneida,State Assembly,117,CON,Kenneth Blankenbush,1415,,,,,,,,,
Oneida,State Assembly,117,IND,Kenneth Blankenbush,1610,,,,,,,,,
Oneida,State Assembly,117,,Blank,5204,,,,,,,,,
Oneida,State Assembly,117,,Void,0,,,,,,,,,
Oneida,State Assembly,117,,Scattering,39,,,,,,,,,
Oneida,State Assembly,117,,Total,18102,,,,,,,,,
St. Lawrence,State Assembly,117,REP,Kenneth Blankenbush,3363,,,,,,,,,
St. Lawrence,State Assembly,117,CON,Kenneth Blankenbush,453,,,,,,,,,
St. Lawrence,State Assembly,117,IND,Kenneth Blankenbush,358,,,,,,,,,
St. Lawrence,State Assembly,117,,Blank,1217,,,,,,,,,
St. Lawrence,State Assembly,117,,Void,0,,,,,,,,,
St. Lawrence,State Assembly,117,,Scattering,11,,,,,,,,,
St. Lawrence,State Assembly,117,,Total,5402,,,,,,,,,
Total,State Assembly,117,REP,Kenneth Blankenbush,29884,,,,,,,,,
Total,State Assembly,117,CON,Kenneth Blankenbush,3714,,,,,,,,,
Total,State Assembly,117,IND,Kenneth Blankenbush,3820,,,,,,,,,
Total,State Assembly,117,,Blank,10763,,,,,,,,,
Total,State Assembly,117,,Void,9,,,,,,,,,
Total,State Assembly,117,,Scattering,106,,,,,,,,,
Total,State Assembly,117,,Total,48296,,,,,,,,,
Fulton,State Assembly,118,REP,Marc W. Butler,14236,,,,,,,,,
Fulton,State Assembly,118,CON,Marc W. Butler,1455,,,,,,,,,
Fulton,State Assembly,118,IND,Marc W. Butler,832,,,,,,,,,
Fulton,State Assembly,118,REF,Marc W. Butler,130,,,,,,,,,
Fulton,State Assembly,118,,Blank,4767,,,,,,,,,
Fulton,State Assembly,118,,Void,9,,,,,,,,,
Fulton,State Assembly,118,,Scattering,35,,,,,,,,,
Fulton,State Assembly,118,,Total,21464,,,,,,,,,
Hamilton,State Assembly,118,REP,Marc W. Butler,2102,,,,,,,,,
Hamilton,State Assembly,118,CON,Marc W. Butler,221,,,,,,,,,
Hamilton,State Assembly,118,IND,Marc W. Butler,165,,,,,,,,,
Hamilton,State Assembly,118,REF,Marc W. Butler,29,,,,,,,,,
Hamilton,State Assembly,118,,Blank,739,,,,,,,,,
Hamilton,State Assembly,118,,Void,0,,,,,,,,,
Hamilton,State Assembly,118,,Scattering,21,,,,,,,,,
Hamilton,State Assembly,118,,Total,3277,,,,,,,,,
Herkimer,State Assembly,118,REP,Marc W. Butler,8152,,,,,,,,,
Herkimer,State Assembly,118,CON,Marc W. Butler,835,,,,,,,,,
Herkimer,State Assembly,118,IND,Marc W. Butler,653,,,,,,,,,
Herkimer,State Assembly,118,REF,Marc W. Butler,157,,,,,,,,,
Herkimer,State Assembly,118,,Blank,2920,,,,,,,,,
Herkimer,State Assembly,118,,Void,14,,,,,,,,,
Herkimer,State Assembly,118,,Scattering,54,,,,,,,,,
Herkimer,State Assembly,118,,Total,12785,,,,,,,,,
Oneida,State Assembly,118,REP,Marc W. Butler,6465,,,,,,,,,
Oneida,State Assembly,118,CON,Marc W. Butler,852,,,,,,,,,
Oneida,State Assembly,118,IND,Marc W. Butler,696,,,,,,,,,
Oneida,State Assembly,118,REF,Marc W. Butler,101,,,,,,,,,
Oneida,State Assembly,118,,Blank,2627,,,,,,,,,
Oneida,State Assembly,118,,Void,0,,,,,,,,,
Oneida,State Assembly,118,,Scattering,24,,,,,,,,,
Oneida,State Assembly,118,,Total,10765,,,,,,,,,
St. Lawrence,State Assembly,118,REP,Marc W. Butler,4404,,,,,,,,,
St. Lawrence,State Assembly,118,CON,Marc W. Butler,528,,,,,,,,,
St. Lawrence,State Assembly,118,IND,Marc W. Butler,487,,,,,,,,,
St. Lawrence,State Assembly,118,REF,Marc W. Butler,65,,,,,,,,,
St. Lawrence,State Assembly,118,,Blank,2173,,,,,,,,,
St. Lawrence,State Assembly,118,,Void,0,,,,,,,,,
St. Lawrence,State Assembly,118,,Scattering,18,,,,,,,,,
St. Lawrence,State Assembly,118,,Total,7675,,,,,,,,,
Total,State Assembly,118,REP,Marc W. Butler,35359,,,,,,,,,
Total,State Assembly,118,CON,Marc W. Butler,3891,,,,,,,,,
Total,State Assembly,118,IND,Marc W. Butler,2833,,,,,,,,,
Total,State Assembly,118,REF,Marc W. Butler,482,,,,,,,,,
Total,State Assembly,118,,Blank,13226,,,,,,,,,
Total,State Assembly,118,,Void,23,,,,,,,,,
Total,State Assembly,118,,Scattering,152,,,,,,,,,
Total,State Assembly,118,,Total,55966,,,,,,,,,
Herkimer,State Assembly,119,DEM,Anthony J. Brindisi,1687,,,,,,,,,
Herkimer,State Assembly,119,WOR,Anthony J. Brindisi,273,,,,,,,,,
Herkimer,State Assembly,119,IND,Anthony J. Brindisi,285,,,,,,,,,
Herkimer,State Assembly,119,,Blank,1142,,,,,,,,,
Herkimer,State Assembly,119,,Void,2,,,,,,,,,
Herkimer,State Assembly,119,,Scattering,6,,,,,,,,,
Herkimer,State Assembly,119,,Total,3395,,,,,,,,,
Oneida,State Assembly,119,DEM,Anthony J. Brindisi,22972,,,,,,,,,
Oneida,State Assembly,119,WOR,Anthony J. Brindisi,3641,,,,,,,,,
Oneida,State Assembly,119,IND,Anthony J. Brindisi,4112,,,,,,,,,
Oneida,State Assembly,119,,Blank,11512,,,,,,,,,
Oneida,State Assembly,119,,Void,0,,,,,,,,,
Oneida,State Assembly,119,,Scattering,86,,,,,,,,,
Oneida,State Assembly,119,,Total,42323,,,,,,,,,
Total,State Assembly,119,DEM,Anthony J. Brindisi,24659,,,,,,,,,
Total,State Assembly,119,WOR,Anthony J. Brindisi,3914,,,,,,,,,
Total,State Assembly,119,IND,Anthony J. Brindisi,4397,,,,,,,,,
Total,State Assembly,119,,Blank,12654,,,,,,,,,
Total,State Assembly,119,,Void,2,,,,,,,,,
Total,State Assembly,119,,Scattering,92,,,,,,,,,
Total,State Assembly,119,,Total,45718,,,,,,,,,
Jefferson,State Assembly,120,REP,William A. Barclay,970,,,,,,,,,
Jefferson,State Assembly,120,CON,William A. Barclay,97,,,,,,,,,
Jefferson,State Assembly,120,IND,William A. Barclay,92,,,,,,,,,
Jefferson,State Assembly,120,REF,William A. Barclay,9,,,,,,,,,
Jefferson,State Assembly,120,,Blank,251,,,,,,,,,
Jefferson,State Assembly,120,,Void,0,,,,,,,,,
Jefferson,State Assembly,120,,Scattering,4,,,,,,,,,
Jefferson,State Assembly,120,,Total,1423,,,,,,,,,
Onondaga,State Assembly,120,REP,William A. Barclay,7450,,,,,,,,,
Onondaga,State Assembly,120,CON,William A. Barclay,996,,,,,,,,,
Onondaga,State Assembly,120,IND,William A. Barclay,890,,,,,,,,,
Onondaga,State Assembly,120,REF,William A. Barclay,108,,,,,,,,,
Onondaga,State Assembly,120,,Blank,2859,,,,,,,,,
Onondaga,State Assembly,120,,Void,0,,,,,,,,,
Onondaga,State Assembly,120,,Scattering,40,,,,,,,,,
Onondaga,State Assembly,120,,Total,12343,,,,,,,,,
Oswego,State Assembly,120,REP,William A. Barclay,26324,,,,,,,,,
Oswego,State Assembly,120,CON,William A. Barclay,3523,,,,,,,,,
Oswego,State Assembly,120,IND,William A. Barclay,3327,,,,,,,,,
Oswego,State Assembly,120,REF,William A. Barclay,489,,,,,,,,,
Oswego,State Assembly,120,,Blank,9247,,,,,,,,,
Oswego,State Assembly,120,,Void,11,,,,,,,,,
Oswego,State Assembly,120,,Scattering,164,,,,,,,,,
Oswego,State Assembly,120,,Total,43085,,,,,,,,,
Total,State Assembly,120,REP,William A. Barclay,34744,,,,,,,,,
Total,State Assembly,120,CON,William A. Barclay,4616,,,,,,,,,
Total,State Assembly,120,IND,William A. Barclay,4309,,,,,,,,,
Total,State Assembly,120,REF,William A. Barclay,606,,,,,,,,,
Total,State Assembly,120,,Blank,12357,,,,,,,,,
Total,State Assembly,120,,Void,11,,,,,,,,,
Total,State Assembly,120,,Scattering,208,,,,,,,,,
Total,State Assembly,120,,Total,56851,,,,,,,,,
Madison,State Assembly,121,DEM,Bill Magee,13247,,,,,,,,,
Madison,State Assembly,121,REP,John J. Salka,11353,,,,,,,,,
Madison,State Assembly,121,CON,John J. Salka,1942,,,,,,,,,
Madison,State Assembly,121,IND,Bill Magee,1937,,,,,,,,,
Madison,State Assembly,121,REF,John J. Salka,403,,,,,,,,,
Madison,State Assembly,121,,Blank,1371,,,,,,,,,
Madison,State Assembly,121,,Void,1,,,,,,,,,
Madison,State Assembly,121,,Scattering,8,,,,,,,,,
Madison,State Assembly,121,,Total,30262,,,,,,,,,
Oneida,State Assembly,121,DEM,Bill Magee,2692,,,,,,,,,
Oneida,State Assembly,121,REP,John J. Salka,2914,,,,,,,,,
Oneida,State Assembly,121,CON,John J. Salka,507,,,,,,,,,
Oneida,State Assembly,121,IND,Bill Magee,470,,,,,,,,,
Oneida,State Assembly,121,REF,John J. Salka,86,,,,,,,,,
Oneida,State Assembly,121,,Blank,511,,,,,,,,,
Oneida,State Assembly,121,,Void,0,,,,,,,,,
Oneida,State Assembly,121,,Scattering,4,,,,,,,,,
Oneida,State Assembly,121,,Total,7184,,,,,,,,,
Otsego,State Assembly,121,DEM,Bill Magee,7900,,,,,,,,,
Otsego,State Assembly,121,REP,John J. Salka,6493,,,,,,,,,
Otsego,State Assembly,121,CON,John J. Salka,800,,,,,,,,,
Otsego,State Assembly,121,IND,Bill Magee,871,,,,,,,,,
Otsego,State Assembly,121,REF,John J. Salka,169,,,,,,,,,
Otsego,State Assembly,121,,Blank,1085,,,,,,,,,
Otsego,State Assembly,121,,Void,7,,,,,,,,,
Otsego,State Assembly,121,,Scattering,8,,,,,,,,,
Otsego,State Assembly,121,,Total,17333,,,,,,,,,
Total,State Assembly,121,DEM,Bill Magee,23839,,,,,,,,,
Total,State Assembly,121,REP,John J. Salka,20760,,,,,,,,,
Total,State Assembly,121,CON,John J. Salka,3249,,,,,,,,,
Total,State Assembly,121,IND,Bill Magee,3278,,,,,,,,,
Total,State Assembly,121,REF,John J. Salka,658,,,,,,,,,
Total,State Assembly,121,,Blank,2967,,,,,,,,,
Total,State Assembly,121,,Void,8,,,,,,,,,
Total,State Assembly,121,,Scattering,20,,,,,,,,,
Total,State Assembly,121,,Total,54779,,,,,,,,,
Broome,State Assembly,122,REP,Clifford W. Crouch,20112,,,,,,,,,
Broome,State Assembly,122,,Blank,8724,,,,,,,,,
Broome,State Assembly,122,,Void,5,,,,,,,,,
Broome,State Assembly,122,,Scattering,75,,,,,,,,,
Broome,State Assembly,122,,Total,28916,,,,,,,,,
Chenango,State Assembly,122,REP,Clifford W. Crouch,11904,,,,,,,,,
Chenango,State Assembly,122,,Blank,3634,,,,,,,,,
Chenango,State Assembly,122,,Void,5,,,,,,,,,
Chenango,State Assembly,122,,Scattering,58,,,,,,,,,
Chenango,State Assembly,122,,Total,15601,,,,,,,,,
Delaware,State Assembly,122,REP,Clifford W. Crouch,7465,,,,,,,,,
Delaware,State Assembly,122,,Blank,2000,,,,,,,,,
Delaware,State Assembly,122,,Void,0,,,,,,,,,
Delaware,State Assembly,122,,Scattering,29,,,,,,,,,
Delaware,State Assembly,122,,Total,9494,,,,,,,,,
Otsego,State Assembly,122,REP,Clifford W. Crouch,2476,,,,,,,,,
Otsego,State Assembly,122,,Blank,917,,,,,,,,,
Otsego,State Assembly,122,,Void,0,,,,,,,,,
Otsego,State Assembly,122,,Scattering,8,,,,,,,,,
Otsego,State Assembly,122,,Total,3401,,,,,,,,,
Total,State Assembly,122,REP,Clifford W. Crouch,41957,,,,,,,,,
Total,State Assembly,122,,Blank,15275,,,,,,,,,
Total,State Assembly,122,,Void,10,,,,,,,,,
Total,State Assembly,122,,Scattering,170,,,,,,,,,
Total,State Assembly,122,,Total,57412,,,,,,,,,
Broome,State Assembly,123,DEM,Donna A. Lupardo,29847,,,,,,,,,
Broome,State Assembly,123,REP,"Dorollo Nixon, Jr.",15879,,,,,,,,,
Broome,State Assembly,123,CON,"Dorollo Nixon, Jr.",1937,,,,,,,,,
Broome,State Assembly,123,WOR,Donna A. Lupardo,2766,,,,,,,,,
Broome,State Assembly,123,IND,"Dorollo Nixon, Jr.",926,,,,,,,,,
Broome,State Assembly,123,REF,"Dorollo Nixon, Jr.",331,,,,,,,,,
Broome,State Assembly,123,,Blank,3685,,,,,,,,,
Broome,State Assembly,123,,Void,29,,,,,,,,,
Broome,State Assembly,123,,Scattering,39,,,,,,,,,
Broome,State Assembly,123,,Total,55439,,,,,,,,,
Tioga,State Assembly,124,DEM,Bill Batrowny,5659,,,,,,,,,
Tioga,State Assembly,124,REP,Christopher S. Friend,12500,,,,,,,,,
Tioga,State Assembly,124,CON,Christopher S. Friend,1176,,,,,,,,,
Tioga,State Assembly,124,WOR,Bill Batrowny,498,,,,,,,,,
Tioga,State Assembly,124,IND,Christopher S. Friend,558,,,,,,,,,
Tioga,State Assembly,124,WEP,Bill Batrowny,118,,,,,,,,,
Tioga,State Assembly,124,REF,Christopher S. Friend,110,,,,,,,,,
Tioga,State Assembly,124,,Blank,1929,,,,,,,,,
Tioga,State Assembly,124,,Void,1,,,,,,,,,
Tioga,State Assembly,124,,Scattering,7,,,,,,,,,
Tioga,State Assembly,124,,Total,22556,,,,,,,,,
Broome,State Assembly,124,DEM,Bill Batrowny,618,,,,,,,,,
Broome,State Assembly,124,REP,Christopher S. Friend,1267,,,,,,,,,
Broome,State Assembly,124,CON,Christopher S. Friend,176,,,,,,,,,
Broome,State Assembly,124,WOR,Bill Batrowny,70,,,,,,,,,
Broome,State Assembly,124,IND,Christopher S. Friend,61,,,,,,,,,
Broome,State Assembly,124,WEP,Bill Batrowny,21,,,,,,,,,
Broome,State Assembly,124,REF,Christopher S. Friend,19,,,,,,,,,
Broome,State Assembly,124,,Blank,391,,,,,,,,,
Broome,State Assembly,124,,Void,2,,,,,,,,,
Broome,State Assembly,124,,Scattering,2,,,,,,,,,
Broome,State Assembly,124,,Total,2627,,,,,,,,,
Chemung,State Assembly,124,DEM,Bill Batrowny,10385,,,,,,,,,
Chemung,State Assembly,124,REP,Christopher S. Friend,16209,,,,,,,,,
Chemung,State Assembly,124,CON,Christopher S. Friend,1507,,,,,,,,,
Chemung,State Assembly,124,WOR,Bill Batrowny,663,,,,,,,,,
Chemung,State Assembly,124,IND,Christopher S. Friend,672,,,,,,,,,
Chemung,State Assembly,124,WEP,Bill Batrowny,187,,,,,,,,,
Chemung,State Assembly,124,REF,Christopher S. Friend,89,,,,,,,,,
Chemung,State Assembly,124,,Blank,2154,,,,,,,,,
Chemung,State Assembly,124,,Void,0,,,,,,,,,
Chemung,State Assembly,124,,Scattering,0,,,,,,,,,
Chemung,State Assembly,124,,Total,31866,,,,,,,,,
Total,State Assembly,124,DEM,Bill Batrowny,16662,,,,,,,,,
Total,State Assembly,124,REP,Christopher S. Friend,29976,,,,,,,,,
Total,State Assembly,124,CON,Christopher S. Friend,2859,,,,,,,,,
Total,State Assembly,124,WOR,Bill Batrowny,1231,,,,,,,,,
Total,State Assembly,124,IND,Christopher S. Friend,1291,,,,,,,,,
Total,State Assembly,124,WEP,Bill Batrowny,326,,,,,,,,,
Total,State Assembly,124,REF,Christopher S. Friend,218,,,,,,,,,
Total,State Assembly,124,,Blank,4474,,,,,,,,,
Total,State Assembly,124,,Void,3,,,,,,,,,
Total,State Assembly,124,,Scattering,9,,,,,,,,,
Total,State Assembly,124,,Total,57049,,,,,,,,,
Tompkins,State Assembly,125,DEM,Barbara S. Lifton,25174,,,,,,,,,
Tompkins,State Assembly,125,REP,"Herbert Masser, Jr.",9124,,,,,,,,,
Tompkins,State Assembly,125,CON,"Herbert Masser, Jr.",1174,,,,,,,,,
Tompkins,State Assembly,125,WOR,Barbara S. Lifton,3841,,,,,,,,,
Tompkins,State Assembly,125,REF,"Herbert Masser, Jr.",295,,,,,,,,,
Tompkins,State Assembly,125,,Blank,2744,,,,,,,,,
Tompkins,State Assembly,125,,Void,5,,,,,,,,,
Tompkins,State Assembly,125,,Scattering,37,,,,,,,,,
Tompkins,State Assembly,125,,Total,42394,,,,,,,,,
Cortland,State Assembly,125,DEM,Barbara S. Lifton,5800,,,,,,,,,
Cortland,State Assembly,125,REP,"Herbert Masser, Jr.",3977,,,,,,,,,
Cortland,State Assembly,125,CON,"Herbert Masser, Jr.",563,,,,,,,,,
Cortland,State Assembly,125,WOR,Barbara S. Lifton,601,,,,,,,,,
Cortland,State Assembly,125,REF,"Herbert Masser, Jr.",131,,,,,,,,,
Cortland,State Assembly,125,,Blank,1229,,,,,,,,,
Cortland,State Assembly,125,,Void,0,,,,,,,,,
Cortland,State Assembly,125,,Scattering,2,,,,,,,,,
Cortland,State Assembly,125,,Total,12303,,,,,,,,,
Total,State Assembly,125,DEM,Barbara S. Lifton,30974,,,,,,,,,
Total,State Assembly,125,REP,"Herbert Masser, Jr.",13101,,,,,,,,,
Total,State Assembly,125,CON,"Herbert Masser, Jr.",1737,,,,,,,,,
Total,State Assembly,125,WOR,Barbara S. Lifton,4442,,,,,,,,,
Total,State Assembly,125,REF,"Herbert Masser, Jr.",426,,,,,,,,,
Total,State Assembly,125,,Blank,3973,,,,,,,,,
Total,State Assembly,125,,Void,5,,,,,,,,,
Total,State Assembly,125,,Scattering,39,,,,,,,,,
Total,State Assembly,125,,Total,54697,,,,,,,,,
Cayuga,State Assembly,126,DEM,Diane M. Dwire,6956,,,,,,,,,
Cayuga,State Assembly,126,REP,Gary D. Finch,10946,,,,,,,,,
Cayuga,State Assembly,126,CON,Gary D. Finch,1443,,,,,,,,,
Cayuga,State Assembly,126,WOR,Diane M. Dwire,529,,,,,,,,,
Cayuga,State Assembly,126,IND,Gary D. Finch,764,,,,,,,,,
Cayuga,State Assembly,126,WEP,Diane M. Dwire,169,,,,,,,,,
Cayuga,State Assembly,126,REF,Gary D. Finch,107,,,,,,,,,
Cayuga,State Assembly,126,,Blank,1167,,,,,,,,,
Cayuga,State Assembly,126,,Void,21,,,,,,,,,
Cayuga,State Assembly,126,,Scattering,10,,,,,,,,,
Cayuga,State Assembly,126,,Total,22112,,,,,,,,,
Chenango,State Assembly,126,DEM,Diane M. Dwire,1084,,,,,,,,,
Chenango,State Assembly,126,REP,Gary D. Finch,2651,,,,,,,,,
Chenango,State Assembly,126,CON,Gary D. Finch,298,,,,,,,,,
Chenango,State Assembly,126,WOR,Diane M. Dwire,107,,,,,,,,,
Chenango,State Assembly,126,IND,Gary D. Finch,108,,,,,,,,,
Chenango,State Assembly,126,WEP,Diane M. Dwire,45,,,,,,,,,
Chenango,State Assembly,126,REF,Gary D. Finch,35,,,,,,,,,
Chenango,State Assembly,126,,Blank,383,,,,,,,,,
Chenango,State Assembly,126,,Void,5,,,,,,,,,
Chenango,State Assembly,126,,Scattering,2,,,,,,,,,
Chenango,State Assembly,126,,Total,4718,,,,,,,,,
Cortland,State Assembly,126,DEM,Diane M. Dwire,2271,,,,,,,,,
Cortland,State Assembly,126,REP,Gary D. Finch,4179,,,,,,,,,
Cortland,State Assembly,126,CON,Gary D. Finch,515,,,,,,,,,
Cortland,State Assembly,126,WOR,Diane M. Dwire,177,,,,,,,,,
Cortland,State Assembly,126,IND,Gary D. Finch,179,,,,,,,,,
Cortland,State Assembly,126,WEP,Diane M. Dwire,101,,,,,,,,,
Cortland,State Assembly,126,REF,Gary D. Finch,56,,,,,,,,,
Cortland,State Assembly,126,,Blank,670,,,,,,,,,
Cortland,State Assembly,126,,Void,0,,,,,,,,,
Cortland,State Assembly,126,,Scattering,2,,,,,,,,,
Cortland,State Assembly,126,,Total,8150,,,,,,,,,
Onondaga,State Assembly,126,DEM,Diane M. Dwire,10546,,,,,,,,,
Onondaga,State Assembly,126,REP,Gary D. Finch,12858,,,,,,,,,
Onondaga,State Assembly,126,CON,Gary D. Finch,1933,,,,,,,,,
Onondaga,State Assembly,126,WOR,Diane M. Dwire,763,,,,,,,,,
Onondaga,State Assembly,126,IND,Gary D. Finch,917,,,,,,,,,
Onondaga,State Assembly,126,WEP,Diane M. Dwire,299,,,,,,,,,
Onondaga,State Assembly,126,REF,Gary D. Finch,89,,,,,,,,,
Onondaga,State Assembly,126,,Blank,2293,,,,,,,,,
Onondaga,State Assembly,126,,Void,0,,,,,,,,,
Onondaga,State Assembly,126,,Scattering,19,,,,,,,,,
Onondaga,State Assembly,126,,Total,29717,,,,,,,,,
Total,State Assembly,126,DEM,Diane M. Dwire,20857,,,,,,,,,
Total,State Assembly,126,REP,Gary D. Finch,30634,,,,,,,,,
Total,State Assembly,126,CON,Gary D. Finch,4189,,,,,,,,,
Total,State Assembly,126,WOR,Diane M. Dwire,1576,,,,,,,,,
Total,State Assembly,126,IND,Gary D. Finch,1968,,,,,,,,,
Total,State Assembly,126,WEP,Diane M. Dwire,614,,,,,,,,,
Total,State Assembly,126,REF,Gary D. Finch,287,,,,,,,,,
Total,State Assembly,126,,Blank,4513,,,,,,,,,
Total,State Assembly,126,,Void,26,,,,,,,,,
Total,State Assembly,126,,Scattering,33,,,,,,,,,
