precinct,office,district,candidate,party,votes
Clarkstown 12,U.S. House,17,Write-ins,,1
Clarkstown 12,U.S. House,17,Total,,413
Clarkstown 12,U.S. House,17,Over Votes,,1
Clarkstown 12,U.S. House,17,Under Votes,,36
Clarkstown 12,State Senate,38,David Carlucci,DEM,240
Clarkstown 12,State Senate,38,Janis A. Castaldi,REP,146
Clarkstown 12,State Senate,38,David Carlucci,WOR,23
Clarkstown 12,State Senate,38,David Carlucci,IND,12
Clarkstown 12,State Senate,38,Write-ins,,1
Clarkstown 12,State Senate,38,Total,,422
Clarkstown 12,State Senate,38,Over Votes,,4
Clarkstown 12,State Senate,38,Under Votes,,24
Clarkstown 12,State House,96,Kenneth P. Zebrowski,DEM,251
Clarkstown 12,State House,96,Kenneth P. Zebrowski,WOR,24
Clarkstown 12,State House,96,Kenneth P. Zebrowski,IND,23
Clarkstown 12,State House,96,Write-ins,,2
Clarkstown 12,State House,96,Total,,300
Clarkstown 12,State House,96,Over Votes,,1
Clarkstown 12,State House,96,Under Votes,,149
Clarkstown 13,Ballots Cast,,,,443
Clarkstown 13,President,,Barack Obama,DEM,186
Clarkstown 13,President,,Mitt Romney,REP,216
Clarkstown 13,President,,Mitt Romney,CON,29
Clarkstown 13,President,,Barack Obama,WOR,9
Clarkstown 13,President,,Jill Stein,GRE,1
Clarkstown 13,President,,Peta Lindsay,PSL,0
Clarkstown 13,President,,Gary Johnson,LBT,0
Clarkstown 13,President,,Virgil Goode,CST,0
Clarkstown 13,President,,Write-ins,,0
Clarkstown 13,President,,Total,,441
Clarkstown 13,President,,Over Votes,,1
Clarkstown 13,President,,Under Votes,,1
Clarkstown 13,U.S. Senate,,Kirsten E. Gillibrand,DEM,224
Clarkstown 13,U.S. Senate,,Wendy Long,REP,137
Clarkstown 13,U.S. Senate,,Wendy Long,CON,31
Clarkstown 13,U.S. Senate,,Kirsten E. Gillibrand,WOR,14
Clarkstown 13,U.S. Senate,,Kirsten E. Gillibrand,IND,10
Clarkstown 13,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 13,U.S. Senate,,Chris Edes,LBT,0
Clarkstown 13,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 13,U.S. Senate,,Write-ins,,0
Clarkstown 13,U.S. Senate,,Total,,419
Clarkstown 13,U.S. Senate,,Over Votes,,2
Clarkstown 13,U.S. Senate,,Under Votes,,22
Clarkstown 13,U.S. House,17,Nita M. Lowey,DEM,192
Clarkstown 13,U.S. House,17,Joe Carvin,REP,191
Clarkstown 13,U.S. House,17,Nita M. Lowey,WOR,21
Clarkstown 13,U.S. House,17,Francis E. Morganthaler,WTP,2
Clarkstown 13,U.S. House,17,Write-ins,,0
Clarkstown 13,U.S. House,17,Total,,406
Clarkstown 13,U.S. House,17,Over Votes,,3
Clarkstown 13,U.S. House,17,Under Votes,,34
Clarkstown 13,State Senate,38,David Carlucci,DEM,239
Clarkstown 13,State Senate,38,Janis A. Castaldi,REP,138
Clarkstown 13,State Senate,38,David Carlucci,WOR,16
Clarkstown 13,State Senate,38,David Carlucci,IND,15
Clarkstown 13,State Senate,38,Write-ins,,1
Clarkstown 13,State Senate,38,Total,,409
Clarkstown 13,State Senate,38,Over Votes,,2
Clarkstown 13,State Senate,38,Under Votes,,32
Clarkstown 13,State House,96,Kenneth P. Zebrowski,DEM,237
Clarkstown 13,State House,96,Kenneth P. Zebrowski,WOR,23
Clarkstown 13,State House,96,Kenneth P. Zebrowski,IND,31
Clarkstown 13,State House,96,Write-ins,,2
Clarkstown 13,State House,96,Total,,293
Clarkstown 13,State House,96,Over Votes,,0
Clarkstown 13,State House,96,Under Votes,,150
Clarkstown 14,Ballots Cast,,,,726
Clarkstown 14,President,,Barack Obama,DEM,250
Clarkstown 14,President,,Mitt Romney,REP,416
Clarkstown 14,President,,Mitt Romney,CON,42
Clarkstown 14,President,,Barack Obama,WOR,7
Clarkstown 14,President,,Jill Stein,GRE,2
Clarkstown 14,President,,Peta Lindsay,PSL,0
Clarkstown 14,President,,Gary Johnson,LBT,6
Clarkstown 14,President,,Virgil Goode,CST,0
Clarkstown 14,President,,Write-ins,,0
Clarkstown 14,President,,Total,,723
Clarkstown 14,President,,Over Votes,,1
Clarkstown 14,President,,Under Votes,,2
Clarkstown 14,U.S. Senate,,Kirsten E. Gillibrand,DEM,300
Clarkstown 14,U.S. Senate,,Wendy Long,REP,284
Clarkstown 14,U.S. Senate,,Wendy Long,CON,38
Clarkstown 14,U.S. Senate,,Kirsten E. Gillibrand,WOR,34
Clarkstown 14,U.S. Senate,,Kirsten E. Gillibrand,IND,28
Clarkstown 14,U.S. Senate,,Colia Clark,GRE,3
Clarkstown 14,U.S. Senate,,Chris Edes,LBT,7
Clarkstown 14,U.S. Senate,,John Mangelli,CSP,3
Clarkstown 14,U.S. Senate,,Write-ins,,0
Clarkstown 14,U.S. Senate,,Total,,697
Clarkstown 14,U.S. Senate,,Over Votes,,1
Clarkstown 14,U.S. Senate,,Under Votes,,28
Clarkstown 14,U.S. House,17,Nita M. Lowey,DEM,264
Clarkstown 14,U.S. House,17,Joe Carvin,REP,354
Clarkstown 14,U.S. House,17,Nita M. Lowey,WOR,36
Clarkstown 14,U.S. House,17,Francis E. Morganthaler,WTP,6
Clarkstown 14,U.S. House,17,Write-ins,,0
Clarkstown 14,U.S. House,17,Total,,660
Clarkstown 14,U.S. House,17,Over Votes,,1
Clarkstown 14,U.S. House,17,Under Votes,,65
Clarkstown 14,State Senate,38,David Carlucci,DEM,350
Clarkstown 14,State Senate,38,Janis A. Castaldi,REP,263
Clarkstown 14,State Senate,38,David Carlucci,WOR,46
Clarkstown 14,State Senate,38,David Carlucci,IND,23
Clarkstown 14,State Senate,38,Write-ins,,0
Clarkstown 14,State Senate,38,Total,,682
Clarkstown 14,State Senate,38,Over Votes,,1
Clarkstown 14,State Senate,38,Under Votes,,43
Clarkstown 14,State House,96,Kenneth P. Zebrowski,DEM,345
Clarkstown 14,State House,96,Kenneth P. Zebrowski,WOR,61
Clarkstown 14,State House,96,Kenneth P. Zebrowski,IND,49
Clarkstown 14,State House,96,Write-ins,,3
Clarkstown 14,State House,96,Total,,458
Clarkstown 14,State House,96,Over Votes,,0
Clarkstown 14,State House,96,Under Votes,,268
Clarkstown 15,Ballots Cast,,,,477
Clarkstown 15,President,,Barack Obama,DEM,238
Clarkstown 15,President,,Mitt Romney,REP,206
Clarkstown 15,President,,Mitt Romney,CON,17
Clarkstown 15,President,,Barack Obama,WOR,8
Clarkstown 15,President,,Jill Stein,GRE,2
Clarkstown 15,President,,Peta Lindsay,PSL,0
Clarkstown 15,President,,Gary Johnson,LBT,3
Clarkstown 15,President,,Virgil Goode,CST,0
Clarkstown 15,President,,Write-ins,,3
Clarkstown 15,President,,Total,,477
Clarkstown 15,President,,Over Votes,,0
Clarkstown 15,President,,Under Votes,,0
Clarkstown 15,U.S. Senate,,Kirsten E. Gillibrand,DEM,272
Clarkstown 15,U.S. Senate,,Wendy Long,REP,132
Clarkstown 15,U.S. Senate,,Wendy Long,CON,12
Clarkstown 15,U.S. Senate,,Kirsten E. Gillibrand,WOR,15
Clarkstown 15,U.S. Senate,,Kirsten E. Gillibrand,IND,12
Clarkstown 15,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 15,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 15,U.S. Senate,,John Mangelli,CSP,2
Clarkstown 15,U.S. Senate,,Write-ins,,0
Clarkstown 15,U.S. Senate,,Total,,448
Clarkstown 15,U.S. Senate,,Over Votes,,0
Clarkstown 15,U.S. Senate,,Under Votes,,29
Clarkstown 15,U.S. House,17,Nita M. Lowey,DEM,239
Clarkstown 15,U.S. House,17,Joe Carvin,REP,177
Clarkstown 15,U.S. House,17,Nita M. Lowey,WOR,9
Clarkstown 15,U.S. House,17,Francis E. Morganthaler,WTP,2
Clarkstown 15,U.S. House,17,Write-ins,,1
Clarkstown 15,U.S. House,17,Total,,428
Clarkstown 15,U.S. House,17,Over Votes,,0
Clarkstown 15,U.S. House,17,Under Votes,,49
Clarkstown 15,State Senate,38,David Carlucci,DEM,276
Clarkstown 15,State Senate,38,Janis A. Castaldi,REP,132
Clarkstown 15,State Senate,38,David Carlucci,WOR,23
Clarkstown 15,State Senate,38,David Carlucci,IND,13
Clarkstown 15,State Senate,38,Write-ins,,0
Clarkstown 15,State Senate,38,Total,,444
Clarkstown 15,State Senate,38,Over Votes,,0
Clarkstown 15,State Senate,38,Under Votes,,33
Clarkstown 15,State House,96,Kenneth P. Zebrowski,DEM,274
Clarkstown 15,State House,96,Kenneth P. Zebrowski,WOR,20
Clarkstown 15,State House,96,Kenneth P. Zebrowski,IND,27
Clarkstown 15,State House,96,Write-ins,,4
Clarkstown 15,State House,96,Total,,325
Clarkstown 15,State House,96,Over Votes,,0
Clarkstown 15,State House,96,Under Votes,,152
Clarkstown 16,Ballots Cast,,,,357
Clarkstown 16,President,,Barack Obama,DEM,159
Clarkstown 16,President,,Mitt Romney,REP,156
Clarkstown 16,President,,Mitt Romney,CON,29
Clarkstown 16,President,,Barack Obama,WOR,6
Clarkstown 16,President,,Jill Stein,GRE,1
Clarkstown 16,President,,Peta Lindsay,PSL,0
Clarkstown 16,President,,Gary Johnson,LBT,4
Clarkstown 16,President,,Virgil Goode,CST,0
Clarkstown 16,President,,Write-ins,,1
Clarkstown 16,President,,Total,,356
Clarkstown 16,President,,Over Votes,,0
Clarkstown 16,President,,Under Votes,,1
Clarkstown 16,U.S. Senate,,Kirsten E. Gillibrand,DEM,183
Clarkstown 16,U.S. Senate,,Wendy Long,REP,95
Clarkstown 16,U.S. Senate,,Wendy Long,CON,29
Clarkstown 16,U.S. Senate,,Kirsten E. Gillibrand,WOR,14
Clarkstown 16,U.S. Senate,,Kirsten E. Gillibrand,IND,9
Clarkstown 16,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 16,U.S. Senate,,Chris Edes,LBT,2
Clarkstown 16,U.S. Senate,,John Mangelli,CSP,6
Clarkstown 16,U.S. Senate,,Write-ins,,0
Clarkstown 16,U.S. Senate,,Total,,340
Clarkstown 16,U.S. Senate,,Over Votes,,0
Clarkstown 16,U.S. Senate,,Under Votes,,17
Clarkstown 16,U.S. House,17,Nita M. Lowey,DEM,160
Clarkstown 16,U.S. House,17,Joe Carvin,REP,149
Clarkstown 16,U.S. House,17,Nita M. Lowey,WOR,14
Clarkstown 16,U.S. House,17,Francis E. Morganthaler,WTP,3
Clarkstown 16,U.S. House,17,Write-ins,,0
Clarkstown 16,U.S. House,17,Total,,326
Clarkstown 16,U.S. House,17,Over Votes,,0
Clarkstown 16,U.S. House,17,Under Votes,,31
Clarkstown 16,State Senate,38,David Carlucci,DEM,205
Clarkstown 16,State Senate,38,Janis A. Castaldi,REP,107
Clarkstown 16,State Senate,38,David Carlucci,WOR,14
Clarkstown 16,State Senate,38,David Carlucci,IND,15
Clarkstown 16,State Senate,38,Write-ins,,0
Clarkstown 16,State Senate,38,Total,,341
Clarkstown 16,State Senate,38,Over Votes,,0
Clarkstown 16,State Senate,38,Under Votes,,16
Clarkstown 16,State House,96,Kenneth P. Zebrowski,DEM,212
Clarkstown 16,State House,96,Kenneth P. Zebrowski,WOR,23
Clarkstown 16,State House,96,Kenneth P. Zebrowski,IND,26
Clarkstown 16,State House,96,Write-ins,,5
Clarkstown 16,State House,96,Total,,266
Clarkstown 16,State House,96,Over Votes,,0
Clarkstown 16,State House,96,Under Votes,,91
Clarkstown 17,Ballots Cast,,,,540
Clarkstown 17,President,,Barack Obama,DEM,205
Clarkstown 17,President,,Mitt Romney,REP,288
Clarkstown 17,President,,Mitt Romney,CON,31
Clarkstown 17,President,,Barack Obama,WOR,9
Clarkstown 17,President,,Jill Stein,GRE,0
Clarkstown 17,President,,Peta Lindsay,PSL,0
Clarkstown 17,President,,Gary Johnson,LBT,3
Clarkstown 17,President,,Virgil Goode,CST,0
Clarkstown 17,President,,Write-ins,,1
Clarkstown 17,President,,Total,,537
Clarkstown 17,President,,Over Votes,,1
Clarkstown 17,President,,Under Votes,,2
Clarkstown 17,U.S. Senate,,Kirsten E. Gillibrand,DEM,246
Clarkstown 17,U.S. Senate,,Wendy Long,REP,182
Clarkstown 17,U.S. Senate,,Wendy Long,CON,31
Clarkstown 17,U.S. Senate,,Kirsten E. Gillibrand,WOR,22
Clarkstown 17,U.S. Senate,,Kirsten E. Gillibrand,IND,16
Clarkstown 17,U.S. Senate,,Colia Clark,GRE,0
Clarkstown 17,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 17,U.S. Senate,,John Mangelli,CSP,3
Clarkstown 17,U.S. Senate,,Write-ins,,0
Clarkstown 17,U.S. Senate,,Total,,501
Clarkstown 17,U.S. Senate,,Over Votes,,4
Clarkstown 17,U.S. Senate,,Under Votes,,35
Clarkstown 17,U.S. House,17,Nita M. Lowey,DEM,204
Clarkstown 17,U.S. House,17,Joe Carvin,REP,250
Clarkstown 17,U.S. House,17,Nita M. Lowey,WOR,24
Clarkstown 17,U.S. House,17,Francis E. Morganthaler,WTP,5
Clarkstown 17,U.S. House,17,Write-ins,,0
Clarkstown 17,U.S. House,17,Total,,483
Clarkstown 17,U.S. House,17,Over Votes,,0
Clarkstown 17,U.S. House,17,Under Votes,,57
Clarkstown 17,State Senate,38,David Carlucci,DEM,249
Clarkstown 17,State Senate,38,Janis A. Castaldi,REP,196
Clarkstown 17,State Senate,38,David Carlucci,WOR,27
Clarkstown 17,State Senate,38,David Carlucci,IND,17
Clarkstown 17,State Senate,38,Write-ins,,0
Clarkstown 17,State Senate,38,Total,,489
Clarkstown 17,State Senate,38,Over Votes,,3
Clarkstown 17,State Senate,38,Under Votes,,48
Clarkstown 17,State House,96,Kenneth P. Zebrowski,DEM,241
Clarkstown 17,State House,96,Kenneth P. Zebrowski,WOR,37
Clarkstown 17,State House,96,Kenneth P. Zebrowski,IND,31
Clarkstown 17,State House,96,Write-ins,,4
Clarkstown 17,State House,96,Total,,313
Clarkstown 17,State House,96,Over Votes,,0
Clarkstown 17,State House,96,Under Votes,,227
Clarkstown 18,Ballots Cast,,,,248
Clarkstown 18,President,,Barack Obama,DEM,113
Clarkstown 18,President,,Mitt Romney,REP,106
Clarkstown 18,President,,Mitt Romney,CON,16
Clarkstown 18,President,,Barack Obama,WOR,4
Clarkstown 18,President,,Jill Stein,GRE,2
Clarkstown 18,President,,Peta Lindsay,PSL,0
Clarkstown 18,President,,Gary Johnson,LBT,3
Clarkstown 18,President,,Virgil Goode,CST,0
Clarkstown 18,President,,Write-ins,,0
Clarkstown 18,President,,Total,,244
Clarkstown 18,President,,Over Votes,,1
Clarkstown 18,President,,Under Votes,,3
Clarkstown 18,U.S. Senate,,Kirsten E. Gillibrand,DEM,144
Clarkstown 18,U.S. Senate,,Wendy Long,REP,48
Clarkstown 18,U.S. Senate,,Wendy Long,CON,14
Clarkstown 18,U.S. Senate,,Kirsten E. Gillibrand,WOR,12
Clarkstown 18,U.S. Senate,,Kirsten E. Gillibrand,IND,4
Clarkstown 18,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 18,U.S. Senate,,Chris Edes,LBT,2
Clarkstown 18,U.S. Senate,,John Mangelli,CSP,0
Clarkstown 18,U.S. Senate,,Write-ins,,0
Clarkstown 18,U.S. Senate,,Total,,226
Clarkstown 18,U.S. Senate,,Over Votes,,1
Clarkstown 18,U.S. Senate,,Under Votes,,21
Clarkstown 18,U.S. House,17,Nita M. Lowey,DEM,111
Clarkstown 18,U.S. House,17,Joe Carvin,REP,81
Clarkstown 18,U.S. House,17,Nita M. Lowey,WOR,11
Clarkstown 18,U.S. House,17,Francis E. Morganthaler,WTP,1
Clarkstown 18,U.S. House,17,Write-ins,,0
Clarkstown 18,U.S. House,17,Total,,204
Clarkstown 18,U.S. House,17,Over Votes,,1
Clarkstown 18,U.S. House,17,Under Votes,,43
Clarkstown 18,State Senate,38,David Carlucci,DEM,156
Clarkstown 18,State Senate,38,Janis A. Castaldi,REP,44
Clarkstown 18,State Senate,38,David Carlucci,WOR,20
Clarkstown 18,State Senate,38,David Carlucci,IND,4
Clarkstown 18,State Senate,38,Write-ins,,1
Clarkstown 18,State Senate,38,Total,,225
Clarkstown 18,State Senate,38,Over Votes,,1
Clarkstown 18,State Senate,38,Under Votes,,22
Clarkstown 18,State House,96,Kenneth P. Zebrowski,DEM,144
Clarkstown 18,State House,96,Kenneth P. Zebrowski,WOR,19
Clarkstown 18,State House,96,Kenneth P. Zebrowski,IND,10
Clarkstown 18,State House,96,Write-ins,,1
Clarkstown 18,State House,96,Total,,174
Clarkstown 18,State House,96,Over Votes,,0
Clarkstown 18,State House,96,Under Votes,,74
Clarkstown 19,Ballots Cast,,,,620
Clarkstown 19,President,,Barack Obama,DEM,272
Clarkstown 19,President,,Mitt Romney,REP,293
Clarkstown 19,President,,Mitt Romney,CON,39
Clarkstown 19,President,,Barack Obama,WOR,7
Clarkstown 19,President,,Jill Stein,GRE,2
Clarkstown 19,President,,Peta Lindsay,PSL,0
Clarkstown 19,President,,Gary Johnson,LBT,5
Clarkstown 19,President,,Virgil Goode,CST,0
Clarkstown 19,President,,Write-ins,,2
Clarkstown 19,President,,Total,,620
Clarkstown 19,President,,Over Votes,,0
Clarkstown 19,President,,Under Votes,,0
Clarkstown 19,U.S. Senate,,Kirsten E. Gillibrand,DEM,319
Clarkstown 19,U.S. Senate,,Wendy Long,REP,172
Clarkstown 19,U.S. Senate,,Wendy Long,CON,31
Clarkstown 19,U.S. Senate,,Kirsten E. Gillibrand,WOR,21
Clarkstown 19,U.S. Senate,,Kirsten E. Gillibrand,IND,27
Clarkstown 19,U.S. Senate,,Colia Clark,GRE,2
Clarkstown 19,U.S. Senate,,Chris Edes,LBT,4
Clarkstown 19,U.S. Senate,,John Mangelli,CSP,3
Clarkstown 19,U.S. Senate,,Write-ins,,0
Clarkstown 19,U.S. Senate,,Total,,579
Clarkstown 19,U.S. Senate,,Over Votes,,1
Clarkstown 19,U.S. Senate,,Under Votes,,40
Clarkstown 19,U.S. House,17,Nita M. Lowey,DEM,273
Clarkstown 19,U.S. House,17,Joe Carvin,REP,240
Clarkstown 19,U.S. House,17,Nita M. Lowey,WOR,31
Clarkstown 19,U.S. House,17,Francis E. Morganthaler,WTP,4
Clarkstown 19,U.S. House,17,Write-ins,,0
Clarkstown 19,U.S. House,17,Total,,548
Clarkstown 19,U.S. House,17,Over Votes,,0
Clarkstown 19,U.S. House,17,Under Votes,,72
Clarkstown 19,State Senate,38,David Carlucci,DEM,342
Clarkstown 19,State Senate,38,Janis A. Castaldi,REP,174
Clarkstown 19,State Senate,38,David Carlucci,WOR,30
Clarkstown 19,State Senate,38,David Carlucci,IND,27
Clarkstown 19,State Senate,38,Write-ins,,0
Clarkstown 19,State Senate,38,Total,,573
Clarkstown 19,State Senate,38,Over Votes,,1
Clarkstown 19,State Senate,38,Under Votes,,46
Clarkstown 19,State House,96,Kenneth P. Zebrowski,DEM,348
Clarkstown 19,State House,96,Kenneth P. Zebrowski,WOR,35
Clarkstown 19,State House,96,Kenneth P. Zebrowski,IND,42
Clarkstown 19,State House,96,Write-ins,,3
Clarkstown 19,State House,96,Total,,428
Clarkstown 19,State House,96,Over Votes,,0
Clarkstown 19,State House,96,Under Votes,,192
Clarkstown 20,Ballots Cast,,,,245
Clarkstown 20,President,,Barack Obama,DEM,207
Clarkstown 20,President,,Mitt Romney,REP,27
Clarkstown 20,President,,Mitt Romney,CON,5
Clarkstown 20,President,,Barack Obama,WOR,3
Clarkstown 20,President,,Jill Stein,GRE,0
Clarkstown 20,President,,Peta Lindsay,PSL,0
Clarkstown 20,President,,Gary Johnson,LBT,2
Clarkstown 20,President,,Virgil Goode,CST,0
Clarkstown 20,President,,Write-ins,,0
Clarkstown 20,President,,Total,,244
Clarkstown 20,President,,Over Votes,,0
Clarkstown 20,President,,Under Votes,,1
Clarkstown 20,U.S. Senate,,Kirsten E. Gillibrand,DEM,190
Clarkstown 20,U.S. Senate,,Wendy Long,REP,21
Clarkstown 20,U.S. Senate,,Wendy Long,CON,5
Clarkstown 20,U.S. Senate,,Kirsten E. Gillibrand,WOR,4
Clarkstown 20,U.S. Senate,,Kirsten E. Gillibrand,IND,3
Clarkstown 20,U.S. Senate,,Colia Clark,GRE,1
Clarkstown 20,U.S. Senate,,Chris Edes,LBT,1
Clarkstown 20,U.S. Senate,,John Mangelli,CSP,0
Clarkstown 20,U.S. Senate,,Write-ins,,0
Clarkstown 20,U.S. Senate,,Total,,225
Clarkstown 20,U.S. Senate,,Over Votes,,0
Clarkstown 20,U.S. Senate,,Under Votes,,20
Clarkstown 20,U.S. House,17,Nita M. Lowey,DEM,175
Clarkstown 20,U.S. House,17,Joe Carvin,REP,29
Clarkstown 20,U.S. House,17,Nita M. Lowey,WOR,9
Clarkstown 20,U.S. House,17,Francis E. Morganthaler,WTP,1
Clarkstown 20,U.S. House,17,Write-ins,,0
Clarkstown 20,U.S. House,17,Total,,214
Clarkstown 20,U.S. House,17,Over Votes,,0
Clarkstown 20,U.S. House,17,Under Votes,,31
Clarkstown 20,State Senate,38,David Carlucci,DEM,191
Clarkstown 20,State Senate,38,Janis A. Castaldi,REP,22
Clarkstown 20,State Senate,38,David Carlucci,WOR,11
Clarkstown 20,State Senate,38,David Carlucci,IND,5
Clarkstown 20,State Senate,38,Write-ins,,0
Clarkstown 20,State Senate,38,Total,,229
Clarkstown 20,State Senate,38,Over Votes,,0
Clarkstown 20,State Senate,38,Under Votes,,16
Clarkstown 20,State House,96,Kenneth P. Zebrowski,DEM,182
Clarkstown 20,State House,96,Kenneth P. Zebrowski,WOR,13
Clarkstown 20,State House,96,Kenneth P. Zebrowski,IND,6
Clarkstown 20,State House,96,Write-ins,,0
Clarkstown 20,State House,96,Total,,201
Clarkstown 20,State House,96,Over Votes,,0
Clarkstown 20,State House,96,Under Votes,,44
Clarkstown 21,Ballots Cast,,,,426
Clarkstown 21,President,,Barack Obama,DEM,405
Clarkstown 21,President,,Mitt Romney,REP,14
Clarkstown 21,President,,Mitt Romney,CON,0
Clarkstown 21,President,,Barack Obama,WOR,5
Clarkstown 21,President,,Jill Stein,GRE,0
Clarkstown 21,President,,Peta Lindsay,PSL,0
Clarkstown 21,President,,Gary Johnson,LBT,0
Clarkstown 21,President,,Virgil Goode,CST,0
Clarkstown 21,President,,Write-ins,,2
Clarkstown 21,President,,Total,,426
Clarkstown 21,President,,Over Votes,,0
Clarkstown 21,President,,Under Votes,,0
Clarkstown 21,U.S. Senate,,Kirsten E. Gillibrand,DEM,351
Clarkstown 21,U.S. Senate,,Wendy Long,REP,13
Clarkstown 21,U.S. Senate,,Wendy Long,CON,0
Clarkstown 21,U.S. Senate,,Kirsten E. Gillibrand,WOR,8
Clarkstown 21,U.S. Senate,,Kirsten E. Gillibrand,IND,3
Clarkstown 21,U.S. Senate,,Colia Clark,GRE,0
Clarkstown 21,U.S. Senate,,Chris Edes,LBT,0
Clarkstown 21,U.S. Senate,,John Mangelli,CSP,1
Clarkstown 21,U.S. Senate,,Write-ins,,0
Clarkstown 21,U.S. Senate,,Total,,376
Clarkstown 21,U.S. Senate,,Over Votes,,0
Clarkstown 21,U.S. Senate,,Under Votes,,50
Clarkstown 21,U.S. House,17,Nita M. Lowey,DEM,339
Clarkstown 21,U.S. House,17,Joe Carvin,REP,14
Clarkstown 21,U.S. House,17,Nita M. Lowey,WOR,10
Clarkstown 21,U.S. House,17,Francis E. Morganthaler,WTP,0
Clarkstown 21,U.S. House,17,Write-ins,,0
Clarkstown 21,U.S. House,17,Total,,363
Clarkstown 21,U.S. House,17,Over Votes,,0
Clarkstown 21,U.S. House,17,Under Votes,,63
Clarkstown 21,State Senate,38,David Carlucci,DEM,346
Clarkstown 21,State Senate,38,Janis A. Castaldi,REP,13
Clarkstown 21,State Senate,38,David Carlucci,WOR,7
Clarkstown 21,State Senate,38,David Carlucci,IND,3
Clarkstown 21,State Senate,38,Write-ins,,0
Clarkstown 21,State Senate,38,Total,,369
Clarkstown 21,State Senate,38,Over Votes,,0
Clarkstown 21,State Senate,38,Under Votes,,57
Clarkstown 21,State House,96,Kenneth P. Zebrowski,DEM,318
Clarkstown 21,State House,96,Kenneth P. Zebrowski,WOR,7
Clarkstown 21,State House,96,Kenneth P. Zebrowski,IND,4
Clarkstown 21,State House,96,Write-ins,,0
Clarkstown 21,State House,96,Total,,329
Clarkstown 21,State House,96,Over Votes,,0
Clarkstown 21,State House,96,Under Votes,,97
Clarkstown 22,Ballots Cast,,,,743
Clarkstown 22,President,,Barack Obama,DEM,410
Clarkstown 22,President,,Mitt Romney,REP,290
Clarkstown 22,President,,Mitt Romney,CON,22
Clarkstown 22,President,,Barack Obama,WOR,8
Clarkstown 22,President,,Jill Stein,GRE,5
Clarkstown 22,President,,Peta Lindsay,PSL,0
Clarkstown 22,President,,Gary Johnson,LBT,3
Clarkstown 22,President,,Virgil Goode,CST,1
Clarkstown 22,President,,Write-ins,,1
Clarkstown 22,President,,Total,,740
Clarkstown 22,President,,Over Votes,,0
