county,precinct,office,district,party,candidate,election_day,absentee,votes,,,,,,,,,,,,
Herkimer,Town of Manheim 2,Governor,,WEP,Andrew M. Cuomo,4,0,4,,,,,,,,,,,,
Herkimer,Town of Manheim 3,Governor,,WEP,Andrew M. Cuomo,0,1,1,,,,,,,,,,,,
Herkimer,Town of Newport 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Norway 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Ohio 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Russia 1,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Russia 2,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Russia 3,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Salisbury 1,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Schuyler 1,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Schuyler 2,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Schuyler 3,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Stark 1,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Warren 1,Governor,,WEP,Andrew M. Cuomo,2,0,2,,,,,,,,,,,,
Herkimer,Town of Webb 1,Governor,,WEP,Andrew M. Cuomo,3,0,3,,,,,,,,,,,,
Herkimer,Town of Webb 2,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,Town of Winfield 1,Governor,,WEP,Andrew M. Cuomo,1,0,1,,,,,,,,,,,,
Herkimer,Town of Winfield 2,Governor,,WEP,Andrew M. Cuomo,0,0,0,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 1 1,Governor,,REP,Marc Molinaro,198,9,207,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 2 1,Governor,,REP,Marc Molinaro,214,11,225,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 3 1,Governor,,REP,Marc Molinaro,39,3,42,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 3 2,Governor,,REP,Marc Molinaro,100,3,103,,,,,,,,,,,,
Herkimer,City of Little Falls Ward 4 1,Governor,,REP,Marc Molinaro,119,9,128,,,,,,,,,,,,
Herkimer,Town of Columbia 1,Governor,,REP,Marc Molinaro,325,16,341,,,,,,,,,,,,
Herkimer,Town of Columbia 2,Governor,,REP,Marc Molinaro,96,3,99,,,,,,,,,,,,
Herkimer,Town of Danube 1,Governor,,REP,Marc Molinaro,231,11,242,,,,,,,,,,,,
Herkimer,Town of Fairfield 1,Governor,,REP,Marc Molinaro,368,31,399,,,,,,,,,,,,
Herkimer,Town of Frankfort 1,Governor,,REP,Marc Molinaro,174,11,185,,,,,,,,,,,,
