county,office,district,party,candidate,votes,
Oneida,U.S. Senate,,CON,Louis P. Wein,93,
Onondaga,U.S. Senate,,CON,Louis P. Wein,158,
Ontario,U.S. Senate,,CON,Louis P. Wein,32,
Orange,U.S. Senate,,CON,Louis P. Wein,82,
Orleans,U.S. Senate,,CON,Louis P. Wein,18,
Oswego,U.S. Senate,,CON,Louis P. Wein,65,
Otsego,U.S. Senate,,CON,Louis P. Wein,22,
Putnam,U.S. Senate,,CON,Louis P. Wein,23,
Rensselaer,U.S. Senate,,CON,Louis P. Wein,64,
Rockland,U.S. Senate,,CON,Louis P. Wein,48,
St. Lawrence,U.S. Senate,,CON,Louis P. Wein,36,
Saratoga,U.S. Senate,,CON,Louis P. Wein,56,
Schenectady,U.S. Senate,,CON,Louis P. Wein,44,
Schoharie,U.S. Senate,,CON,Louis P. Wein,15,
Schuyler,U.S. Senate,,CON,Louis P. Wein,9,
Seneca,U.S. Senate,,CON,Louis P. Wein,10,
Steuben,U.S. Senate,,CON,Louis P. Wein,31,
Suffolk,U.S. Senate,,CON,Louis P. Wein,229,
Sullivan,U.S. Senate,,CON,Louis P. Wein,20,
Tioga,U.S. Senate,,CON,Louis P. Wein,12,
Tompkins,U.S. Senate,,CON,Louis P. Wein,14,
Ulster,U.S. Senate,,CON,Louis P. Wein,44,
Warren,U.S. Senate,,CON,Louis P. Wein,34,
Washington,U.S. Senate,,CON,Louis P. Wein,26,
Wayne,U.S. Senate,,CON,Louis P. Wein,33,
Westchester,U.S. Senate,,CON,Louis P. Wein,117,
Wyoming,U.S. Senate,,CON,Louis P. Wein,14,
Yates,U.S. Senate,,CON,Louis P. Wein,9,
Bronx,U.S. Senate,,CON,Louis P. Wein,76,
Kings,U.S. Senate,,CON,Louis P. Wein,248,
New York,U.S. Senate,,CON,Louis P. Wein,157,
Queens,U.S. Senate,,CON,Louis P. Wein,146,
Richmond,U.S. Senate,,CON,Louis P. Wein,56,
,U.S. Senate,,CON,Louis P. Wein,3414,
Albany,U.S. Senate,,LBT,John Clifton,95,
Allegany,U.S. Senate,,LBT,John Clifton,24,
Broome,U.S. Senate,,LBT,John Clifton,55,
Cattaraugus,U.S. Senate,,LBT,John Clifton,9,
Cayuga,U.S. Senate,,LBT,John Clifton,18,
Chautauqua,U.S. Senate,,LBT,John Clifton,50,
Chemung,U.S. Senate,,LBT,John Clifton,15,
Chenango,U.S. Senate,,LBT,John Clifton,14,
Clinton,U.S. Senate,,LBT,John Clifton,28,
Columbia,U.S. Senate,,LBT,John Clifton,18,
Cortland,U.S. Senate,,LBT,John Clifton,21,
Delaware,U.S. Senate,,LBT,John Clifton,22,
Dutchess,U.S. Senate,,LBT,John Clifton,103,
Erie,U.S. Senate,,LBT,John Clifton,424,
Essex,U.S. Senate,,LBT,John Clifton,23,
Franklin,U.S. Senate,,LBT,John Clifton,10,
Fulton,U.S. Senate,,LBT,John Clifton,6,
Genesee,U.S. Senate,,LBT,John Clifton,24,
Greene,U.S. Senate,,LBT,John Clifton,19,
Hamilton,U.S. Senate,,LBT,John Clifton,0,
Herkimer,U.S. Senate,,LBT,John Clifton,21,
Jefferson,U.S. Senate,,LBT,John Clifton,21,
Lewis,U.S. Senate,,LBT,John Clifton,15,
Livingston,U.S. Senate,,LBT,John Clifton,27,
Madison,U.S. Senate,,LBT,John Clifton,31,
Monroe,U.S. Senate,,LBT,John Clifton,320,
Montgomery,U.S. Senate,,LBT,John Clifton,18,
Nassau,U.S. Senate,,LBT,John Clifton,239,
Niagara,U.S. Senate,,LBT,John Clifton,65,
Oneida,U.S. Senate,,LBT,John Clifton,37,
Onondaga,U.S. Senate,,LBT,John Clifton,138,
Ontario,U.S. Senate,,LBT,John Clifton,36,
Orange,U.S. Senate,,LBT,John Clifton,88,
Orleans,U.S. Senate,,LBT,John Clifton,8,
Oswego,U.S. Senate,,LBT,John Clifton,41,
Otsego,U.S. Senate,,LBT,John Clifton,18,
Putnam,U.S. Senate,,LBT,John Clifton,37,
Rensselaer,U.S. Senate,,LBT,John Clifton,54,
Rockland,U.S. Senate,,LBT,John Clifton,58,
St. Lawrence,U.S. Senate,,LBT,John Clifton,33,
Saratoga,U.S. Senate,,LBT,John Clifton,82,
Schenectady,U.S. Senate,,LBT,John Clifton,47,
Schoharie,U.S. Senate,,LBT,John Clifton,9,
Schuyler,U.S. Senate,,LBT,John Clifton,6,
Seneca,U.S. Senate,,LBT,John Clifton,18,
Steuben,U.S. Senate,,LBT,John Clifton,41,
Suffolk,U.S. Senate,,LBT,John Clifton,250,
Sullivan,U.S. Senate,,LBT,John Clifton,17,
Tioga,U.S. Senate,,LBT,John Clifton,18,
Tompkins,U.S. Senate,,LBT,John Clifton,56,
Ulster,U.S. Senate,,LBT,John Clifton,81,
Warren,U.S. Senate,,LBT,John Clifton,19,
Washington,U.S. Senate,,LBT,John Clifton,131,
Wayne,U.S. Senate,,LBT,John Clifton,45,
Westchester,U.S. Senate,,LBT,John Clifton,273,
Wyoming,U.S. Senate,,LBT,John Clifton,6,
Yates,U.S. Senate,,LBT,John Clifton,16,
Bronx,U.S. Senate,,LBT,John Clifton,148,
Kings,U.S. Senate,,LBT,John Clifton,300,
New York,U.S. Senate,,LBT,John Clifton,521,
Queens,U.S. Senate,,LBT,John Clifton,290,
Richmond,U.S. Senate,,LBT,John Clifton,77,
,U.S. Senate,,LBT,John Clifton,4734,
Albany,U.S. Senate,,SWP,Jacob J. Perasso,53,
Allegany,U.S. Senate,,SWP,Jacob J. Perasso,19,
Broome,U.S. Senate,,SWP,Jacob J. Perasso,37,
Cattaraugus,U.S. Senate,,SWP,Jacob J. Perasso,209,
Cayuga,U.S. Senate,,SWP,Jacob J. Perasso,18,
Chautauqua,U.S. Senate,,SWP,Jacob J. Perasso,26,
Chemung,U.S. Senate,,SWP,Jacob J. Perasso,6,
Chenango,U.S. Senate,,SWP,Jacob J. Perasso,10,
Clinton,U.S. Senate,,SWP,Jacob J. Perasso,19,
Columbia,U.S. Senate,,SWP,Jacob J. Perasso,22,
Cortland,U.S. Senate,,SWP,Jacob J. Perasso,5,
Delaware,U.S. Senate,,SWP,Jacob J. Perasso,10,
Dutchess,U.S. Senate,,SWP,Jacob J. Perasso,73,
Erie,U.S. Senate,,SWP,Jacob J. Perasso,153,
Essex,U.S. Senate,,SWP,Jacob J. Perasso,7,
Franklin,U.S. Senate,,SWP,Jacob J. Perasso,8,
Fulton,U.S. Senate,,SWP,Jacob J. Perasso,9,
Genesee,U.S. Senate,,SWP,Jacob J. Perasso,6,
Greene,U.S. Senate,,SWP,Jacob J. Perasso,14,
Hamilton,U.S. Senate,,SWP,Jacob J. Perasso,3,
Herkimer,U.S. Senate,,SWP,Jacob J. Perasso,2,
Jefferson,U.S. Senate,,SWP,Jacob J. Perasso,8,
Lewis,U.S. Senate,,SWP,Jacob J. Perasso,4,
Livingston,U.S. Senate,,SWP,Jacob J. Perasso,10,
Madison,U.S. Senate,,SWP,Jacob J. Perasso,10,
Monroe,U.S. Senate,,SWP,Jacob J. Perasso,92,
Montgomery,U.S. Senate,,SWP,Jacob J. Perasso,10,
Nassau,U.S. Senate,,SWP,Jacob J. Perasso,133,
Niagara,U.S. Senate,,SWP,Jacob J. Perasso,40,
Oneida,U.S. Senate,,SWP,Jacob J. Perasso,10,
Onondaga,U.S. Senate,,SWP,Jacob J. Perasso,54,
Ontario,U.S. Senate,,SWP,Jacob J. Perasso,21,
Orange,U.S. Senate,,SWP,Jacob J. Perasso,52,
Orleans,U.S. Senate,,SWP,Jacob J. Perasso,9,
Oswego,U.S. Senate,,SWP,Jacob J. Perasso,18,
Otsego,U.S. Senate,,SWP,Jacob J. Perasso,9,
Putnam,U.S. Senate,,SWP,Jacob J. Perasso,20,
Rensselaer,U.S. Senate,,SWP,Jacob J. Perasso,26,
Rockland,U.S. Senate,,SWP,Jacob J. Perasso,40,
St. Lawrence,U.S. Senate,,SWP,Jacob J. Perasso,13,
Saratoga,U.S. Senate,,SWP,Jacob J. Perasso,40,
Schenectady,U.S. Senate,,SWP,Jacob J. Perasso,27,
Schoharie,U.S. Senate,,SWP,Jacob J. Perasso,4,
Schuyler,U.S. Senate,,SWP,Jacob J. Perasso,3,
Seneca,U.S. Senate,,SWP,Jacob J. Perasso,4,
Steuben,U.S. Senate,,SWP,Jacob J. Perasso,28,
Suffolk,U.S. Senate,,SWP,Jacob J. Perasso,134,
Sullivan,U.S. Senate,,SWP,Jacob J. Perasso,28,
Tioga,U.S. Senate,,SWP,Jacob J. Perasso,4,
Tompkins,U.S. Senate,,SWP,Jacob J. Perasso,16,
Ulster,U.S. Senate,,SWP,Jacob J. Perasso,61,
Warren,U.S. Senate,,SWP,Jacob J. Perasso,24,
Washington,U.S. Senate,,SWP,Jacob J. Perasso,212,
Wayne,U.S. Senate,,SWP,Jacob J. Perasso,13,
Westchester,U.S. Senate,,SWP,Jacob J. Perasso,144,
Wyoming,U.S. Senate,,SWP,Jacob J. Perasso,112,
Yates,U.S. Senate,,SWP,Jacob J. Perasso,6,
Bronx,U.S. Senate,,SWP,Jacob J. Perasso,104,
Kings,U.S. Senate,,SWP,Jacob J. Perasso,270,
New York,U.S. Senate,,SWP,Jacob J. Perasso,298,
Queens,U.S. Senate,,SWP,Jacob J. Perasso,184,
Richmond,U.S. Senate,,SWP,Jacob J. Perasso,36,
,U.S. Senate,,SWP,Jacob J. Perasso,3040,
Albany,U.S. Senate,,,"Blank, Void & Scattering",2188,
Allegany,U.S. Senate,,,"Blank, Void & Scattering",831,
Broome,U.S. Senate,,,"Blank, Void & Scattering",1386,
Cattaraugus,U.S. Senate,,,"Blank, Void & Scattering",823,
Cayuga,U.S. Senate,,,"Blank, Void & Scattering",557,
Chautauqua,U.S. Senate,,,"Blank, Void & Scattering",1198,
Chemung,U.S. Senate,,,"Blank, Void & Scattering",773,
Chenango,U.S. Senate,,,"Blank, Void & Scattering",383,
Clinton,U.S. Senate,,,"Blank, Void & Scattering",896,
Columbia,U.S. Senate,,,"Blank, Void & Scattering",646,
Cortland,U.S. Senate,,,"Blank, Void & Scattering",271,
Delaware,U.S. Senate,,,"Blank, Void & Scattering",417,
Dutchess,U.S. Senate,,,"Blank, Void & Scattering",2094,
Erie,U.S. Senate,,,"Blank, Void & Scattering",8388,
Essex,U.S. Senate,,,"Blank, Void & Scattering",491,
Franklin,U.S. Senate,,,"Blank, Void & Scattering",507,
Fulton,U.S. Senate,,,"Blank, Void & Scattering",448,
Genesee,U.S. Senate,,,"Blank, Void & Scattering",592,
Greene,U.S. Senate,,,"Blank, Void & Scattering",344,
Hamilton,U.S. Senate,,,"Blank, Void & Scattering",80,
Herkimer,U.S. Senate,,,"Blank, Void & Scattering",559,
Jefferson,U.S. Senate,,,"Blank, Void & Scattering",722,
Lewis,U.S. Senate,,,"Blank, Void & Scattering",361,
Livingston,U.S. Senate,,,"Blank, Void & Scattering",710,
Madison,U.S. Senate,,,"Blank, Void & Scattering",529,
Monroe,U.S. Senate,,,"Blank, Void & Scattering",6324,
Montgomery,U.S. Senate,,,"Blank, Void & Scattering",627,
Nassau,U.S. Senate,,,"Blank, Void & Scattering",12223,
Niagara,U.S. Senate,,,"Blank, Void & Scattering",1912,
Oneida,U.S. Senate,,,"Blank, Void & Scattering",1811,
Onondaga,U.S. Senate,,,"Blank, Void & Scattering",2806,
Ontario,U.S. Senate,,,"Blank, Void & Scattering",650,
Orange,U.S. Senate,,,"Blank, Void & Scattering",2660,
Orleans,U.S. Senate,,,"Blank, Void & Scattering",258,
Oswego,U.S. Senate,,,"Blank, Void & Scattering",983,
Otsego,U.S. Senate,,,"Blank, Void & Scattering",636,
Putnam,U.S. Senate,,,"Blank, Void & Scattering",581,
Rensselaer,U.S. Senate,,,"Blank, Void & Scattering",1187,
Rockland,U.S. Senate,,,"Blank, Void & Scattering",2314,
St. Lawrence,U.S. Senate,,,"Blank, Void & Scattering",788,
Saratoga,U.S. Senate,,,"Blank, Void & Scattering",1549,
Schenectady,U.S. Senate,,,"Blank, Void & Scattering",1335,
Schoharie,U.S. Senate,,,"Blank, Void & Scattering",245,
Schuyler,U.S. Senate,,,"Blank, Void & Scattering",172,
Seneca,U.S. Senate,,,"Blank, Void & Scattering",203,
Steuben,U.S. Senate,,,"Blank, Void & Scattering",1107,
Suffolk,U.S. Senate,,,"Blank, Void & Scattering",7378,
Sullivan,U.S. Senate,,,"Blank, Void & Scattering",747,
Tioga,U.S. Senate,,,"Blank, Void & Scattering",299,
Tompkins,U.S. Senate,,,"Blank, Void & Scattering",716,
Ulster,U.S. Senate,,,"Blank, Void & Scattering",1447,
Warren,U.S. Senate,,,"Blank, Void & Scattering",628,
Washington,U.S. Senate,,,"Blank, Void & Scattering",507,
Wayne,U.S. Senate,,,"Blank, Void & Scattering",600,
Westchester,U.S. Senate,,,"Blank, Void & Scattering",10757,
Wyoming,U.S. Senate,,,"Blank, Void & Scattering",278,
Yates,U.S. Senate,,,"Blank, Void & Scattering",299,
Bronx,U.S. Senate,,,"Blank, Void & Scattering",15272,
Kings,U.S. Senate,,,"Blank, Void & Scattering",27296,
New York,U.S. Senate,,,"Blank, Void & Scattering",20104,
Queens,U.S. Senate,,,"Blank, Void & Scattering",23410,
Richmond,U.S. Senate,,,"Blank, Void & Scattering",3520,
,U.S. Senate,,,"Blank, Void & Scattering",179823,
Albany,U.S. Senate,,,Total,143579,
Allegany,U.S. Senate,,,Total,18865,
Broome,U.S. Senate,,,Total,88011,
Cattaraugus,U.S. Senate,,,Total,34198,
Cayuga,U.S. Senate,,,Total,34413,
Chautauqua,U.S. Senate,,,Total,59282,
Chemung,U.S. Senate,,,Total,38145,
Chenango,U.S. Senate,,,Total,20541,
Clinton,U.S. Senate,,,Total,31127,
Columbia,U.S. Senate,,,Total,28979,
Cortland,U.S. Senate,,,Total,20906,
Delaware,U.S. Senate,,,Total,20369,
Dutchess,U.S. Senate,,,Total,112595,
Erie,U.S. Senate,,,Total,431869,
Essex,U.S. Senate,,,Total,18199,
Franklin,U.S. Senate,,,Total,17742,
Fulton,U.S. Senate,,,Total,21908,
Genesee,U.S. Senate,,,Total,26357,
Greene,U.S. Senate,,,Total,21308,
Hamilton,U.S. Senate,,,Total,3733,
Herkimer,U.S. Senate,,,Total,28062,
Jefferson,U.S. Senate,,,Total,36859,
Lewis,U.S. Senate,,,Total,11166,
Livingston,U.S. Senate,,,Total,27447,
Madison,U.S. Senate,,,Total,28694,
Monroe,U.S. Senate,,,Total,322296,
Montgomery,U.S. Senate,,,Total,21115,
Nassau,U.S. Senate,,,Total,596894,
Niagara,U.S. Senate,,,Total,94489,
Oneida,U.S. Senate,,,Total,97435,
Onondaga,U.S. Senate,,,Total,205649,
Ontario,U.S. Senate,,,Total,46238,
Orange,U.S. Senate,,,Total,127936,
Orleans,U.S. Senate,,,Total,15997,
Oswego,U.S. Senate,,,Total,49046,
Otsego,U.S. Senate,,,Total,25716,
Putnam,U.S. Senate,,,Total,42796,
Rensselaer,U.S. Senate,,,Total,69132,
Rockland,U.S. Senate,,,Total,124330,
St. Lawrence,U.S. Senate,,,Total,40436,
Saratoga,U.S. Senate,,,Total,95655,
Schenectady,U.S. Senate,,,Total,67666,
Schoharie,U.S. Senate,,,Total,13666,
Schuyler,U.S. Senate,,,Total,8253,
Seneca,U.S. Senate,,,Total,14490,
Steuben,U.S. Senate,,,Total,40939,
Suffolk,U.S. Senate,,,Total,577765,
Sullivan,U.S. Senate,,,Total,28954,
Tioga,U.S. Senate,,,Total,22585,
Tompkins,U.S. Senate,,,Total,40351,
Ulster,U.S. Senate,,,Total,78853,
Warren,U.S. Senate,,,Total,28808,
Washington,U.S. Senate,,,Total,23966,
Wayne,U.S. Senate,,,Total,38633,
Westchester,U.S. Senate,,,Total,378789,
Wyoming,U.S. Senate,,,Total,17793,
Yates,U.S. Senate,,,Total,10365,
Bronx,U.S. Senate,,,Total,323147,
Kings,U.S. Senate,,,Total,642563,
New York,U.S. Senate,,,Total,581936,
Queens,U.S. Senate,,,Total,576127,
Richmond,U.S. Senate,,,Total,144499,
,U.S. Senate,,,Total,6959662,
SUFFOLK,U.S. House,1,REP,Felix J. Grucci Jr.,111003,
SUFFOLK,U.S. House,1,DEM,Regina Seltzer,97299,
SUFFOLK,U.S. House,1,IND,Felix J. Grucci Jr.,5702,
SUFFOLK,U.S. House,1,CON,Felix J. Grucci Jr.,7569,
SUFFOLK,U.S. House,1,RTL,Felix J. Grucci Jr.,8746,
SUFFOLK,U.S. House,1,GRE,William G. Holst,2967,
SUFFOLK,U.S. House,1,WOR,Michael P. Forbes,6318,
SUFFOLK,U.S. House,1,,"Blank, Void & Scattering",29574,
SUFFOLK,U.S. House,1,,Total,269178,
SUFFOLK,U.S. House,2,REP,Joan B. Johnson,65880,
SUFFOLK,U.S. House,2,DEM,Steve J. Israel,90438,
SUFFOLK,U.S. House,2,IND,David A. Bishop,7595,
SUFFOLK,U.S. House,2,CON,Richard N. Thompson,10824,
SUFFOLK,U.S. House,2,RTL,Robert T. Walsh,11224,
SUFFOLK,U.S. House,2,GRE,David A. Bishop,1404,
SUFFOLK,U.S. House,2,WOR,David A. Bishop,1267,
SUFFOLK,U.S. House,2,,"Blank, Void & Scattering",37596,
SUFFOLK,U.S. House,2,,Total,226228,
NASSAU,U.S. House,3,REP,Peter T. King,122820,
NASSAU,U.S. House,3,DEM,Dal LaMagna,91948,
NASSAU,U.S. House,3,IND,Peter T. King,4477,
NASSAU,U.S. House,3,CON,Peter T. King,7158,
NASSAU,U.S. House,3,LIB,Selma Olchin,1515,
NASSAU,U.S. House,3,RTL,Peter T. King,8671,
NASSAU,U.S. House,3,GRE,Dal LaMagna,2260,
NASSAU,U.S. House,3,WOR,Dal LaMagna,1579,
NASSAU,U.S. House,3,,"Blank, Void & Scattering",40049,
NASSAU,U.S. House,3,,Total,280477,
NASSAU,U.S. House,4,REP,Gregory R. Becker,75650,
NASSAU,U.S. House,4,DEM,Carolyn McCarthy,128688,
NASSAU,U.S. House,4,IND,Carolyn McCarthy,5191,
NASSAU,U.S. House,4,CON,Gregory R. Becker,4996,
NASSAU,U.S. House,4,LIB,Barbara Vitenza,1222,
NASSAU,U.S. House,4,RTL,Gregory R. Becker,7184,
NASSAU,U.S. House,4,WOR,Carolyn McCarthy,2824,
NASSAU,U.S. House,4,,"Blank, Void & Scattering",28204,
NASSAU,U.S. House,4,,Total,253959,
NASSAU,U.S. House,5,REP,Edward Elkowitz,13681,
SUFFOLK,U.S. House,5,REP,Edward Elkowitz,24727,
QUEENS,U.S. House,5,REP,Edward Elkowitz,17638,
,U.S. House,5,REP,Edward Elkowitz,56046,
NASSAU,U.S. House,5,DEM,Gary L. Ackerman,36168,
SUFFOLK,U.S. House,5,DEM,Gary L. Ackerman,36133,
QUEENS,U.S. House,5,DEM,Gary L. Ackerman,54932,
,U.S. House,5,DEM,Gary L. Ackerman,127233,
NASSAU,U.S. House,5,IND,Gary L. Ackerman,756,
SUFFOLK,U.S. House,5,IND,Gary L. Ackerman,2456,
QUEENS,U.S. House,5,IND,Gary L. Ackerman,1626,
,U.S. House,5,IND,Gary L. Ackerman,4838,
NASSAU,U.S. House,5,CON,Edward Elkowitz,786,
SUFFOLK,U.S. House,5,CON,Edward Elkowitz,2373,
QUEENS,U.S. House,5,CON,Edward Elkowitz,1879,
,U.S. House,5,CON,Edward Elkowitz,5038,
NASSAU,U.S. House,5,LIB,Gary L. Ackerman,743,
SUFFOLK,U.S. House,5,LIB,Gary L. Ackerman,912,
QUEENS,U.S. House,5,LIB,Gary L. Ackerman,1249,
,U.S. House,5,LIB,Gary L. Ackerman,2904,
NASSAU,U.S. House,5,RTL,Anne T. Robinson,668,
SUFFOLK,U.S. House,5,RTL,Anne T. Robinson,2394,
QUEENS,U.S. House,5,RTL,Anne T. Robinson,784,
,U.S. House,5,RTL,Anne T. Robinson,3846,
NASSAU,U.S. House,5,WOR,Gary L. Ackerman,636,
SUFFOLK,U.S. House,5,WOR,Gary L. Ackerman,737,
QUEENS,U.S. House,5,WOR,Gary L. Ackerman,1336,
,U.S. House,5,WOR,Gary L. Ackerman,2709,
NASSAU,U.S. House,5,,"Blank, Void & Scattering",9020,
SUFFOLK,U.S. House,5,,"Blank, Void & Scattering",12627,
QUEENS,U.S. House,5,,"Blank, Void & Scattering",20367,
,U.S. House,5,,"Blank, Void & Scattering",42014,
NASSAU,U.S. House,5,,Total,62458,
SUFFOLK,U.S. House,5,,Total,82359,
QUEENS,U.S. House,5,,Total,99811,
,U.S. House,5,,Total,244628,
QUEENS,U.S. House,6,DEM,Gregory W. Meeks,117194,
QUEENS,U.S. House,6,WOR,Gregory W. Meeks,3624,
QUEENS,U.S. House,6,,"Blank, Void & Scattering",54804,
QUEENS,U.S. House,6,,Total,175622,
BRONX,U.S. House,7,REP,Rose Robles Birtley,8341,
QUEENS,U.S. House,7,REP,Rose Robles Birtley,16251,
,U.S. House,7,REP,Rose Robles Birtley,24592,
BRONX,U.S. House,7,DEM,Joseph Crowley,18450,
QUEENS,U.S. House,7,DEM,Joseph Crowley,59757,
,U.S. House,7,DEM,Joseph Crowley,78207,
BRONX,U.S. House,7,CON,Robert E. Hurley,1345,
QUEENS,U.S. House,7,CON,Robert E. Hurley,1786,
,U.S. House,7,CON,Robert E. Hurley,3131,
BRONX,U.S. House,7,RTL,Garafalia Christea,247,
QUEENS,U.S. House,7,RTL,Garafalia Christea,925,
,U.S. House,7,RTL,Garafalia Christea,1172,
BRONX,U.S. House,7,GRE,Paul Gilman,258,
QUEENS,U.S. House,7,GRE,Paul Gilman,1741,
,U.S. House,7,GRE,Paul Gilman,1999,
BRONX,U.S. House,7,,"Blank, Void & Scattering",13107,
QUEENS,U.S. House,7,,"Blank, Void & Scattering",31166,
,U.S. House,7,,"Blank, Void & Scattering",44273,
BRONX,U.S. House,7,,,41748,
QUEENS,U.S. House,7,,,111626,
,U.S. House,7,,,153374,
KINGS,U.S. House,8,REP,Marian S. Henry,7281,
NEW YORK,U.S. House,8,REP,Marian S. Henry,19776,
,U.S. House,8,REP,Marian S. Henry,27057,
KINGS,U.S. House,8,DEM,Jerrold L. Nadler,30651,
NEW YORK,U.S. House,8,DEM,Jerrold L. Nadler,109285,
,U.S. House,8,DEM,Jerrold L. Nadler,139936,
KINGS,U.S. House,8,IND,Harry Kresky,201,
NEW YORK,U.S. House,8,IND,Harry Kresky,824,
,U.S. House,8,IND,Harry Kresky,1025,
KINGS,U.S. House,8,CON,Anthony A. LaBella,1067,
NEW YORK,U.S. House,8,CON,Anthony A. LaBella,782,
,U.S. House,8,CON,Anthony A. LaBella,1849,
KINGS,U.S. House,8,LIB,Jerrold L. Nadler,562,
NEW YORK,U.S. House,8,LIB,Jerrold L. Nadler,3051,
,U.S. House,8,LIB,Jerrold L. Nadler,3613,
KINGS,U.S. House,8,GRE,Dan Wentzel,235,
NEW YORK,U.S. House,8,GRE,Dan Wentzel,4530,
,U.S. House,8,GRE,Dan Wentzel,4765,
KINGS,U.S. House,8,WOR,Jerrold L. Nadler,732,
NEW YORK,U.S. House,8,WOR,Jerrold L. Nadler,5992,
,U.S. House,8,WOR,Jerrold L. Nadler,6724,
KINGS,U.S. House,8,,"Blank, Void & Scattering",18248,
NEW YORK,U.S. House,8,,"Blank, Void & Scattering",24367,
,U.S. House,8,,"Blank, Void & Scattering",42615,
KINGS,U.S. House,8,,Total,58977,
NEW YORK,U.S. House,8,,Total,168607,
,U.S. House,8,,Total,227584,
KINGS,U.S. House,9,REP,Noach Dear,19783,
QUEENS,U.S. House,9,REP,Noach Dear,21083,
,U.S. House,9,REP,Noach Dear,40866,
KINGS,U.S. House,9,DEM,Anthony D. Weiner,48974,
QUEENS,U.S. House,9,DEM,Anthony D. Weiner,47374,
,U.S. House,9,DEM,Anthony D. Weiner,96348,
KINGS,U.S. House,9,CON,Noach Dear,2232,
QUEENS,U.S. House,9,CON,Noach Dear,2551,
,U.S. House,9,CON,Noach Dear,4783,
KINGS,U.S. House,9,LIB,Anthony D. Weiner,1350,
QUEENS,U.S. House,9,LIB,Anthony D. Weiner,1285,
,U.S. House,9,LIB,Anthony D. Weiner,2635,
KINGS,U.S. House,9,,"Blank, Void & Scattering",17337,
QUEENS,U.S. House,9,,"Blank, Void & Scattering",22106,
,U.S. House,9,,"Blank, Void & Scattering",39443,
KINGS,U.S. House,9,,Total,89676,
QUEENS,U.S. House,9,,Total,94399,
,U.S. House,9,,Total,184075,
KINGS,U.S. House,10,REP,Ernestine M. Brown,6852,
KINGS,U.S. House,10,DEM,Edolphus Towns,118812,
KINGS,U.S. House,10,CON,Ernest Johnson,802,
KINGS,U.S. House,10,LIB,Edolphus Towns,1888,
KINGS,U.S. House,10,WOR,Barry Ford,5530,
KINGS,U.S. House,10,,"Blank, Void & Scattering",44832,
KINGS,U.S. House,10,,Total,178716,
KINGS,U.S. House,11,REP,Susan Cleary,7088,
KINGS,U.S. House,11,DEM,Major R. Owens,105321,
KINGS,U.S. House,11,CON,Cartrell Gore,962,
KINGS,U.S. House,11,LIB,Una S.T. Clarke,7366,
KINGS,U.S. House,11,WOR,Major R. Owens,6729,
KINGS,U.S. House,11,SCH,Susan Cleary,1318,
KINGS,U.S. House,11,,"Blank, Void & Scattering",35673,
KINGS,U.S. House,11,,Total,164457,
KINGS,U.S. House,12,REP,Rosemary Markgraf,6768,
NEW YORK,U.S. House,12,REP,Rosemary Markgraf,1896,
QUEENS,U.S. House,12,REP,Rosemary Markgraf,1388,
,U.S. House,12,REP,Rosemary Markgraf,10052,
KINGS,U.S. House,12,DEM,Nydia M. Velazquez,58765,
NEW YORK,U.S. House,12,DEM,Nydia M. Velazquez,18517,
QUEENS,U.S. House,12,DEM,Nydia M. Velazquez,4417,
,U.S. House,12,DEM,Nydia M. Velazquez,81699,
KINGS,U.S. House,12,CON,Caesar Estevez,611,
NEW YORK,U.S. House,12,CON,Caesar Estevez,130,
QUEENS,U.S. House,12,CON,Caesar Estevez,109,
,U.S. House,12,CON,Caesar Estevez,850,
KINGS,U.S. House,12,RTL,Mildred Rosario,584,
NEW YORK,U.S. House,12,RTL,Mildred Rosario,185,
QUEENS,U.S. House,12,RTL,Mildred Rosario,96,
,U.S. House,12,RTL,Mildred Rosario,865,
KINGS,U.S. House,12,WOR,Nydia M. Velazquez,3274,
NEW YORK,U.S. House,12,WOR,Nydia M. Velazquez,1122,
QUEENS,U.S. House,12,WOR,Nydia M. Velazquez,193,
,U.S. House,12,WOR,Nydia M. Velazquez,4589,
KINGS,U.S. House,12,SOC,Paul Pederson,764,
NEW YORK,U.S. House,12,SOC,Paul Pederson,212,
QUEENS,U.S. House,12,SOC,Paul Pederson,49,
,U.S. House,12,SOC,Paul Pederson,1025,
KINGS,U.S. House,12,,"Blank, Void & Scattering",23947,
NEW YORK,U.S. House,12,,"Blank, Void & Scattering",8543,
QUEENS,U.S. House,12,,"Blank, Void & Scattering",2490,
,U.S. House,12,,"Blank, Void & Scattering",34980,
KINGS,U.S. House,12,,Total,94713,
NEW YORK,U.S. House,12,,Total,30605,
QUEENS,U.S. House,12,,Total,8742,
,U.S. House,12,,Total,134060,
RICHMOND,U.S. House,13,REP,Vito Fossella,74628,
KINGS,U.S. House,13,REP,Vito Fossella,21068,
,U.S. House,13,REP,Vito Fossella,95696,
RICHMOND,U.S. House,13,DEM,Katina M. Johnstone,38544,
KINGS,U.S. House,13,DEM,Katina M. Johnstone,17219,
,U.S. House,13,DEM,Katina M. Johnstone,55763,
RICHMOND,U.S. House,13,IND,Anita Lerman,878,
KINGS,U.S. House,13,IND,Anita Lerman,424,
,U.S. House,13,IND,Anita Lerman,1302,
RICHMOND,U.S. House,13,CON,Vito Fossella,7131,
KINGS,U.S. House,13,CON,Vito Fossella,2164,
